Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1999*+,21,IND,RB,32,16,16,369,1553,13,86,72,4.2,97.1,23.1,82,62,586,9.5,4,23,54,3.9,36.6,75.60%,7.1,431,5,2139,17,8,21,AP MVP-4 AP OPoY-3 AP ORoY-1 AP1 PB
2000*,22,IND,RB,32,16,16,387,1709,13,100,30,4.4,106.8,24.2,87,63,594,9.4,5,24,60,3.9,37.1,72.40%,6.8,450,5.1,2303,18,5,20,AP OPoY-2 AP2 PB
2001,23,IND,RB,32,6,6,151,662,3,42,29,4.4,110.3,25.2,29,24,193,8,0,9,27,4,32.2,82.80%,6.7,175,4.9,855,3,3,7,
2002,24,IND,RB,32,14,14,277,989,2,59,20,3.6,70.6,19.8,80,61,354,5.8,1,17,23,4.4,25.3,76.30%,4.4,338,4,1343,3,4,9,AP CPoY-5
2003,25,IND,RB,32,13,13,310,1259,11,84,43,4.1,96.8,23.8,71,51,292,5.7,0,9,17,3.9,22.5,71.80%,4.1,361,4.3,1551,11,5,15,
2004*,26,IND,RB,32,16,16,334,1548,9,78,40,4.6,96.8,20.9,60,51,483,9.5,0,20,56,3.2,30.2,85.00%,8.1,385,5.3,2031,9,6,21,AP2 PB
2005*,27,IND,RB,32,15,15,360,1506,13,97,33,4.2,100.4,24,50,44,337,7.7,1,22,20,2.9,22.5,88.00%,6.7,404,4.6,1843,14,2,19,PB
2006,28,ARI,RB,32,16,16,337,1159,6,61,18,3.4,72.4,21.1,61,38,217,5.7,0,10,14,2.4,13.6,62.30%,3.6,375,3.7,1376,6,3,8,
2007,29,ARI,RB,32,16,16,324,1222,7,57,27,3.8,76.4,20.3,39,24,204,8.5,0,9,26,1.5,12.8,61.50%,5.2,348,4.1,1426,7,5,9,
2008,30,ARI,RB,32,13,7,133,514,3,25,35,3.9,39.5,10.2,18,12,85,7.1,0,4,16,0.9,6.5,66.70%,4.7,145,4.1,599,3,2,5,
2009,31,SEA,RB,32,7,0,46,125,0,8,10,2.7,17.9,6.6,3,3,19,6.3,0,1,7,0.4,2.7,100.00%,6.3,49,2.9,144,0,1,1,
Career,,,,,148,135,3028,12246,80,697,72,4,82.7,20.5,580,433,3364,7.8,11,148,60,2.9,22.7,74.70%,5.8,3461,4.5,15610,91,44,135,
7 yrs,,IND,,,96,96,2188,9226,64,546,72,4.2,96.1,22.8,459,356,2839,8,11,124,60,3.7,29.6,77.60%,6.2,2544,4.7,12065,75,33,112,
3 yrs,,ARI,,,45,39,794,2895,16,143,35,3.6,64.3,17.6,118,74,506,6.8,0,23,26,1.6,11.2,62.70%,4.3,868,3.9,3401,16,10,22,
1 yr,,SEA,,,7,0,46,125,0,8,10,2.7,17.9,6.6,3,3,19,6.3,0,1,7,0.4,2.7,100.00%,6.3,49,2.9,144,0,1,1,
