Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2004,23,NYG,QB,10,9,7,1-6-0,95,197,48.2,1043,6,3,9,4.6,50,52,5.3,3.8,11,115.9,55.4,,13,83,6.2,4.57,3.21,1,1,-1,
2005,24,NYG,QB,10,16,16,11-5-0,294,557,52.8,3762,24,4.3,17,3.1,176,78,6.8,6.2,12.8,235.1,75.9,,28,184,4.8,6.12,5.63,1,2,15,
2006,25,NYG,QB,10,16,16,8-8-0,301,522,57.7,3244,24,4.6,18,3.4,162,55,6.2,5.6,10.8,202.8,77,48.6,25,186,4.6,5.59,4.99,2,2,12,
2007,26,NYG,QB,10,16,16,10-6-0,297,529,56.1,3336,23,4.3,20,3.8,167,60,6.3,5.5,11.2,208.5,73.9,52,27,217,4.9,5.61,4.82,3,3,10,
2008*,27,NYG,QB,10,16,16,12-4-0,289,479,60.3,3238,21,4.4,10,2.1,168,48,6.8,6.7,11.2,202.4,86.4,66.9,27,174,5.3,6.06,6,3,3,12,PB
2009,28,NYG,QB,10,16,16,8-8-0,317,509,62.3,4021,27,5.3,14,2.8,183,74,7.9,7.7,12.7,251.3,93.1,71.7,30,216,5.6,7.06,6.89,1,2,13,
2010,29,NYG,QB,10,16,16,10-6-0,339,539,62.9,4002,31,5.8,25,4.6,169,92,7.4,6.5,11.8,250.1,85.3,57.7,16,117,2.9,7,6.09,1,1,12,
2011*,30,NYG,QB,10,16,16,9-7-0,359,589,61,4933,29,4.9,16,2.7,218,99,8.4,8.1,13.7,308.3,92.9,64.2,28,199,4.5,7.67,7.45,5,6,15,AP CPoY-6 PB
2012*,31,NYG,QB,10,16,16,9-7-0,321,536,59.9,3948,26,4.9,15,2.8,187,80,7.4,7.1,12.3,246.8,87.2,67,19,136,3.4,6.87,6.59,3,3,16,PB
2013,32,NYG,QB,10,16,16,7-9-0,317,551,57.5,3818,18,3.3,27,4.9,174,70,6.9,5.4,12,238.6,69.4,38.6,39,281,6.6,5.99,4.55,1,2,7,
2014,33,NYG,QB,10,16,16,6-10-0,379,601,63.1,4410,30,5,14,2.3,219,80,7.3,7.3,11.6,275.6,92.1,62.5,28,187,4.5,6.71,6.67,1,1,13,
2015*,34,NYG,QB,10,16,16,6-10-0,387,618,62.6,4432,35,5.7,14,2.3,206,87,7.2,7.3,11.5,277,93.6,57.9,27,157,4.2,6.63,6.74,1,2,14,PB
2016,35,NYG,QB,10,16,16,11-5-0,377,598,63,4027,26,4.3,16,2.7,191,75,6.7,6.4,10.7,251.7,86,45.7,21,142,3.4,6.28,5.95,3,6,9,
2017,36,NYG,QB,10,15,15,3-12-0,352,571,61.6,3468,19,3.3,13,2.3,172,77,6.1,5.7,9.9,231.2,80.4,47.5,31,189,5.1,5.45,5.11,0,1,7,
2018,37,NYG,QB,10,16,16,5-11-0,380,576,66,4299,21,3.6,11,1.9,205,58,7.5,7.3,11.3,268.7,92.4,49.1,47,358,7.5,6.33,6.21,1,2,12,
2019,38,NYG,QB,10,4,4,1-3-0,91,147,61.9,1042,6,4.1,5,3.4,47,55,7.1,6.4,11.5,260.5,82.6,36.2,5,44,3.3,6.57,5.88,,,3,
Career,,,,,236,234,117-117-0,4895,8119,60.3,57023,366,4.5,244,3,2694,99,7,6.6,11.6,241.6,84.1,,411,2870,4.8,6.35,5.92,27,37,169,
