Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1990*,21,DAL,RB,22,16,15,241,937,11,,48,3.9,58.6,15.1,,24,228,9.5,0,,57,1.5,14.3,,,265,4.4,1165,11,7,8,AP ORoY-1 PB
1991*,22,DAL,RB,22,16,16,365,1563,12,,75,4.3,97.7,22.8,,49,258,5.3,1,,14,3.1,16.1,,,414,4.4,1821,13,8,17,AP2 PB
1992*+,23,DAL,RB,22,16,16,373,1713,18,,68,4.6,107.1,23.3,74,59,335,5.7,1,,26,3.7,20.9,79.70%,4.5,432,4.7,2048,19,4,21,AP MVP-3 AP OPoY-3 AP1 PB
1993*+,24,DAL,RB,22,14,13,283,1486,9,,62,5.3,106.1,20.2,65,57,414,7.3,1,,86,4.1,29.6,87.70%,6.4,340,5.6,1900,10,4,20,AP MVP-1 AP OPoY-3 AP1 PB
1994*+,25,DAL,RB,22,15,15,368,1484,21,100,46,4,98.9,24.5,61,50,341,6.8,1,15,68,3.3,22.7,82.00%,5.6,418,4.4,1825,22,1,17,AP1 PB
1995*+,26,DAL,RB,22,16,16,377,1773,25,107,60,4.7,110.8,23.6,78,62,375,6,0,14,40,3.9,23.4,79.50%,4.8,439,4.9,2148,25,7,20,AP MVP-3 AP OPoY-2 AP1 PB
1996,27,DAL,RB,22,15,15,327,1204,12,76,42,3.7,80.3,21.8,57,47,249,5.3,3,11,21,3.1,16.6,82.50%,4.4,374,3.9,1453,15,5,9,
1997,28,DAL,RB,22,16,16,261,1074,4,52,44,4.1,67.1,16.3,48,40,234,5.9,0,6,24,2.5,14.6,83.30%,4.9,301,4.3,1308,4,1,8,
1998*,29,DAL,RB,22,16,16,319,1332,13,90,32,4.2,83.3,19.9,32,27,175,6.5,2,8,24,1.7,10.9,84.40%,5.5,346,4.4,1507,15,3,11,PB
1999*,30,DAL,RB,22,15,15,329,1397,11,86,63,4.2,93.1,21.9,32,27,119,4.4,2,4,14,1.8,7.9,84.40%,3.7,356,4.3,1516,13,5,11,PB
2000,31,DAL,RB,22,16,16,294,1203,9,66,52,4.1,75.2,18.4,14,11,79,7.2,0,2,19,0.7,4.9,78.60%,5.6,305,4.2,1282,9,6,10,
2001,32,DAL,RB,22,14,14,261,1021,3,48,44,3.9,72.9,18.6,21,17,116,6.8,0,6,22,1.2,8.3,81.00%,5.5,278,4.1,1137,3,1,6,
2002,33,DAL,RB,22,16,16,254,975,5,50,30,3.8,60.9,15.9,24,16,89,5.6,0,4,17,1,5.6,66.70%,3.7,270,3.9,1064,5,3,4,
2003,34,ARI,RB,22,10,5,90,256,2,15,22,2.8,25.6,9,19,14,107,7.6,0,4,36,1.4,10.7,73.70%,5.6,104,3.5,363,2,2,2,
2004,35,ARI,RB,22,15,15,267,937,9,43,29,3.5,62.5,17.8,20,15,105,7,0,3,18,1,7,75.00%,5.3,282,3.7,1042,9,4,5,
Career,,,,,226,219,4409,18355,164,733,75,4.2,81.2,19.5,545,515,3224,6.3,11,77,86,2.3,14.3,81.10%,5,4924,4.4,21579,175,61,169,
13 yrs,,DAL,,,201,199,4052,17162,153,675,75,4.2,85.4,20.2,506,486,3012,6.2,11,70,86,2.4,15,81.60%,5,4538,4.4,20174,164,55,162,
2 yrs,,ARI,,,25,20,357,1193,11,58,29,3.3,47.7,14.3,39,29,212,7.3,0,7,36,1.2,8.5,74.40%,5.4,386,3.6,1405,11,6,7,
