Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1988,23,PHI,RCB,21,16,16,5,76,0,21,,,,,,,0,65,,,,,,7,
1989*+,24,PHI,RCB,21,15,15,8,38,0,18,,,1,0,7,0,0,48,,,,,,18,AP1 PB
1990,25,PHI,RCB,21,16,15,3,37,1,35,,,0,1,0,0,0,63,,,,,,7,
1991*,26,PHI,RCB,21,16,16,5,20,0,8,,,0,1,0,0,0,39,,,,,,12,AP2 PB
1992*,27,PHI,RCB,21,16,16,4,49,0,36,,1,0,2,0,0,0,72,,,,,,11,PB
1993*,28,PHI,RCB,21,16,16,6,201,4,94,,3,0,0,0,0,2,64,,,,,,14,AP DPoY-8 AP2 PB
1994*,29,PHI,RCB,21,16,16,3,61,0,33,,0,0,1,30,0,0,57,46,11,,,,11,PB
1995*,30,NOR,RCB,21,16,16,2,28,0,28,,,,,,,0,59,44,15,,,,9,PB
1996,31,NOR,RCB,21,16,16,1,33,0,33,,,,,,,0,51,48,3,,,,6,
1997,32,NOR,RCB,21,16,16,2,27,0,27,,,,,,,0,50,45,5,,,,7,
1998,33,OAK,RCB,21,10,10,5,59,0,22,,,,,,,0,35,33,2,,,,6,
1999,34,OAK,RCB,21,16,16,3,33,0,31,17,0,0,1,0,0,0,61,52,9,0,,,6,
2000,35,OAK,RCB,21,16,15,6,145,3,50,14,,,,,,1,68,62,6,1,,,8,
2001,36,OAK,RCB,21,16,15,1,19,0,19,9,2,0,1,26,1,0,55,49,6,0,,,7,
Career,,,,,217,214,54,826,8,94,40,6,1,7,63,1,3,787,379,57,1,,,129,
7 yrs,,PHI,,,111,110,34,482,5,94,,4,1,5,37,0,2,408,46,11,,,,80,
4 yrs,,OAK,,,58,56,15,256,3,50,40,2,0,2,26,1,1,219,196,23,1,,,27,
3 yrs,,NOR,,,48,48,5,88,0,33,,,,,,,0,160,137,23,,,,22,
