Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1956,23,GNB,g,75,11,2,,,,,,,,,,,,,,
1957,,Missed season - Military service,,,,,,,,,,,,,,,,,,
1958,25,GNB,t,75,12,1,,,,,,,0,1,0,0,,,,
1959*,26,GNB,RT,75,12,12,,,,,,,,,,,,,,AP2 PB
1960*+,27,GNB,RT,75,12,12,,,,,,,,,,,0,,12,AP1 PB
1961*,28,GNB,RT/rg,75,14,14,,,,,,,,,,,0,,12,PB
1962*+,29,GNB,RT,75,14,14,,,,,,,,,,,0,,14,AP1 PB
1963*+,30,GNB,RT,75,14,14,,,,,,,0,2,0,0,0,,12,AP1 PB
1964*+,31,GNB,RT/rg,75,14,13,,,,,,,,,,,0,,13,AP1 PB
1965+,32,GNB,LG,75,14,14,,,,,,,0,1,0,0,0,,13,AP1
1966*+,33,GNB,RT,75,14,14,,,,,,,,,,,0,,13,AP1 PB
1967*+,34,GNB,RT,75,14,14,,,,,,,0,1,0,0,0,,12,AP1 PB
1968*,35,GNB,RT,75,14,14,,,,,,,0,2,0,0,0,,9,PB
1969,36,GNB,RT,75,14,14,,,,,,,,,,,0,,6,
1970,37,GNB,t,75,14,4,,,,,,,0,1,0,0,0,,2,
1971,38,DAL,g,79,6,0,,,,,,,,,,,0,,4,
Career,,,,,193,156,,,,,,,0,8,0,0,0,,122,
14 yrs,,GNB,,,187,156,,,,,,,0,8,0,0,0,,118,
1 yr,,DAL,,,6,0,,,,,,,,,,,0,,4,
