Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1961,21,MIN,QB,10,14,10,2-8-0,157,280,56.1,1997,18,6.4,17,6.1,71,7.1,5.7,12.7,142.6,74.7,,,,,,,,11,AP RoY-2 UPI RoY-2
1962,22,MIN,QB,10,14,14,2-11-1,163,329,49.5,2595,22,6.7,25,7.6,89,7.9,5.8,15.9,185.4,66.9,,,,,,,,10,
1963,23,MIN,QB,10,14,13,4-8-1,170,297,57.2,2311,15,5.1,15,5.1,67,7.8,6.5,13.6,165.1,78,43,448,12.6,5.48,4.38,2,2,10,
1964*,24,MIN,QB,10,14,14,8-5-1,171,306,55.9,2506,22,7.2,11,3.6,64,8.2,8,14.7,179,91.8,46,446,13.1,5.85,5.7,3,3,14,PB
1965*,25,MIN,QB,10,14,14,7-7-0,171,329,52,2609,19,5.8,11,3.3,72,7.9,7.6,15.3,186.4,83.8,28,250,7.8,6.61,6.29,2,2,15,PB
1966,26,MIN,QB,10,14,12,4-7-1,192,358,53.6,2561,17,4.7,16,4.5,68,7.2,6.1,13.3,182.9,73.8,38,322,9.6,5.65,4.69,2,1,12,
1967*,27,NYG,QB,10,14,14,7-7-0,204,377,54.1,3088,29,7.7,19,5,70,8.2,7.5,15.1,220.6,85.9,29,283,7.1,6.91,6.23,2,2,19,PB
1968*,28,NYG,QB,10,14,14,7-7-0,182,337,54,2555,21,6.2,12,3.6,84,7.6,7.2,14,182.5,84.6,27,255,7.4,6.32,5.99,1,2,16,PB
1969*,29,NYG,QB,10,14,14,6-8-0,220,409,53.8,2918,23,5.6,8,2,65,7.1,7.4,13.3,208.4,87.2,36,289,8.1,5.91,6.13,4,4,14,PB
1970*,30,NYG,QB,10,14,14,9-5-0,219,389,56.3,2777,19,4.9,12,3.1,59,7.1,6.7,12.7,198.4,82.2,36,249,8.5,5.95,5.57,2,5,17,AP MVP-3 PB
1971,31,NYG,QB,10,13,13,4-9-0,226,386,58.5,2567,11,2.8,21,5.4,81,6.7,4.8,11.4,197.5,65.4,27,232,6.5,5.65,3.9,1,1,9,
1972,32,MIN,QB,10,14,14,7-7-0,215,378,56.9,2651,18,4.8,13,3.4,76,7,6.4,12.3,189.4,80.2,26,203,6.4,6.06,5.5,4,3,12,
1973,33,MIN,QB,10,14,14,12-2-0,169,274,61.7,2113,15,5.5,7,2.6,54,7.7,7.7,12.5,150.9,93.2,31,270,10.2,6.04,5.99,,,13,
1974*,34,MIN,QB,10,13,13,9-4-0,199,351,56.7,2598,17,4.8,12,3.4,80,7.4,6.8,13.1,199.8,82.1,17,142,4.6,6.67,6.13,1,1,15,PB
1975*+,35,MIN,QB,10,14,14,12-2-0,273,425,64.2,2994,25,5.9,13,3.1,46,7,6.8,11,213.9,91.8,27,245,6,6.08,5.89,1,1,16,AP MVP-1 AP OPoY-1 AP1 PB
1976*,36,MIN,QB,10,13,13,10-2-1,255,412,61.9,2961,17,4.1,8,1.9,56,7.2,7.1,11.6,227.8,89.3,25,221,5.7,6.27,6.22,1,3,13,PB
1977,37,MIN,QB,10,9,9,6-3-0,155,258,60.1,1734,9,3.5,14,5.4,59,6.7,5,11.2,192.7,69.2,22,232,7.9,5.36,3.76,1,2,6,
1978,38,MIN,QB,10,16,16,8-7-1,345,572,60.3,3468,25,4.4,32,5.6,58,6.1,4.4,10.1,216.8,68.9,27,254,4.5,5.37,3.8,2,1,11,
Career,,,,,246,239,124-109-6,3686,6467,57,47003,342,5.3,266,4.1,89,7.3,6.5,12.8,191.1,80.4,485,4341,7,6.14,5.4,29,33,233,
13 yrs,,MIN,,,177,170,91-73-6,2635,4569,57.7,33098,239,5.2,194,4.2,89,7.2,6.4,12.6,187,80.1,330,3033,7.7,5.94,5.27,19,19,158,
5 yrs,,NYG,,,69,69,33-36-0,1051,1898,55.4,13905,103,5.4,72,3.8,84,7.3,6.7,13.2,201.5,81,155,1308,7.5,6.14,5.56,10,14,75,
