Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1972*,22,PIT,RB,32,14,10,188,1055,10,75,5.6,75.4,13.4,21,180,8.6,1,29,1.5,12.9,209,5.9,1235,11,7,13,AP MVP-8 AP OPoY-5 AP ORoY-1 AP2 PB
1973*,23,PIT,FB,32,12,8,188,698,3,35,3.7,58.2,15.7,10,69,6.9,0,19,0.8,5.8,198,3.9,767,3,8,8,PB
1974*,24,PIT,FB,32,12,11,208,1006,5,54,4.8,83.8,17.3,23,200,8.7,1,31,1.9,16.7,231,5.2,1206,6,9,12,PB
1975*,25,PIT,FB,32,14,14,262,1246,10,36,4.8,89,18.7,28,214,7.6,1,44,2,15.3,290,5,1460,11,9,17,AP2 PB
1976*,26,PIT,FB,32,14,14,289,1128,14,30,3.9,80.6,20.6,23,151,6.6,0,39,1.6,10.8,312,4.1,1279,14,8,13,PB
1977*+,27,PIT,FB,32,14,14,300,1162,11,61,3.9,83,21.4,11,62,5.6,0,15,0.8,4.4,311,3.9,1224,11,10,12,AP1 PB
1978*,28,PIT,FB,32,16,16,310,1082,8,37,3.5,67.6,19.4,22,144,6.5,0,15,1.4,9,332,3.7,1226,8,4,12,PB
1979*,29,PIT,FB,32,15,15,267,1186,11,71,4.4,79.1,17.8,36,291,8.1,1,21,2.4,19.4,303,4.9,1477,12,11,12,PB
1980*,30,PIT,FB,32,13,13,208,789,4,26,3.8,60.7,16,30,196,6.5,2,31,2.3,15.1,238,4.1,985,6,7,7,PB
1981,31,PIT,FB,32,16,16,242,987,8,50,4.1,61.7,15.1,37,250,6.8,1,26,2.3,15.6,279,4.4,1237,9,6,9,
1982,32,PIT,FB,32,9,9,140,604,2,21,4.3,67.1,15.6,31,249,8,0,20,3.4,27.7,171,5,853,2,1,12,
1983,33,PIT,FB,32,16,16,279,1007,5,19,3.6,62.9,17.4,34,278,8.2,2,29,2.1,17.4,313,4.1,1285,7,10,8,
1984,34,SEA,fb,34,8,6,68,170,0,16,2.5,21.3,8.5,1,3,3,0,3,0.1,0.4,69,2.5,173,0,0,1,
Career,,,,,173,162,2949,12120,91,75,4.1,70.1,17,307,2287,7.4,9,44,1.8,13.2,3256,4.4,14407,100,90,136,
12 yrs,,PIT,,,165,156,2881,11950,91,75,4.1,72.4,17.5,306,2284,7.5,9,44,1.9,13.8,3187,4.5,14234,100,90,135,
1 yr,,SEA,,,8,6,68,170,0,16,2.5,21.3,8.5,1,3,3,0,3,0.1,0.4,69,2.5,173,0,0,1,
