Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2005,22,SFO,rb,21,14,1,127,608,3,27,72,4.8,43.4,9.1,22,15,131,8.7,0,4,47,1.1,9.4,68.20%,6,142,5.2,739,3,2,4,
2006*,23,SFO,RB,21,16,16,312,1695,8,67,72,5.4,105.9,19.5,86,61,485,8,1,23,39,3.8,30.3,70.90%,5.6,373,5.8,2180,9,6,16,AP2 PB
2007,24,SFO,RB,21,15,15,260,1102,5,42,43,4.2,73.5,17.3,69,53,436,8.2,1,20,23,3.5,29.1,76.80%,6.3,313,4.9,1538,6,4,9,
2008,25,SFO,RB,21,14,14,240,1036,6,44,41,4.3,74,17.1,66,43,373,8.7,2,13,26,3.1,26.6,65.20%,5.7,283,5,1409,8,6,10,
2009*,26,SFO,RB,21,14,14,229,1120,10,47,80,4.9,80,16.4,75,52,406,7.8,3,14,48,3.7,29,69.30%,5.4,281,5.4,1526,13,4,12,PB
2010,27,SFO,RB,21,11,11,203,853,3,42,64,4.2,77.5,18.5,72,46,452,9.8,2,15,41,4.2,41.1,63.90%,6.3,249,5.2,1305,5,4,8,
2011*,28,SFO,RB,21,16,15,282,1211,8,55,55,4.3,75.7,17.6,31,17,114,6.7,0,4,13,1.1,7.1,54.80%,3.7,299,4.4,1325,8,2,10,PB
2012*,29,SFO,RB,21,16,16,258,1214,8,68,37,4.7,75.9,16.1,36,28,234,8.4,1,10,26,1.8,14.6,77.80%,6.5,286,5.1,1448,9,2,10,PB
2013*,30,SFO,RB,21,16,16,276,1128,9,50,51,4.1,70.5,17.3,27,16,141,8.8,0,5,29,1,8.8,59.30%,5.2,292,4.3,1269,9,3,9,PB
2014,31,SFO,RB,21,16,16,255,1106,4,55,52,4.3,69.1,15.9,19,11,111,10.1,1,2,55,0.7,6.9,57.90%,5.8,266,4.6,1217,5,2,7,
2015,32,IND,RB,23,16,16,260,967,6,48,37,3.7,60.4,16.3,58,34,267,7.9,1,11,34,2.1,16.7,58.60%,4.6,294,4.2,1234,7,4,7,
2016,33,IND,RB,23,16,16,263,1025,4,50,22,3.9,64.1,16.4,47,38,277,7.3,4,14,49,2.4,17.3,80.90%,5.9,301,4.3,1302,8,2,10,
2017,34,IND,RB,23,16,16,261,961,3,49,21,3.7,60.1,16.3,38,29,245,8.4,1,9,26,1.8,15.3,76.30%,6.4,290,4.2,1206,4,3,8,
2018,35,MIA,RB,21,14,14,156,722,0,25,39,4.6,51.6,11.1,16,12,124,10.3,1,8,24,0.9,8.9,75.00%,7.8,168,5,846,1,1,5,
2019,36,BUF,rb,20,16,8,166,599,2,30,41,3.6,37.4,10.4,16,13,100,7.7,0,5,18,0.8,6.3,81.30%,6.3,179,3.9,699,2,0,4,
2020,37,NYJ,RB,21,15,14,187,653,2,32,17,3.5,43.5,12.5,19,16,89,5.6,0,3,9,1.1,5.9,84.20%,4.7,203,3.7,742,2,1,4,
Career,,,,,241,218,3735,16000,81,731,80,4.3,66.4,15.5,697,484,3985,8.2,18,160,55,2,16.5,69.40%,5.7,4219,4.7,19985,99,46,133,
10 yrs,,SFO,,,148,134,2442,11073,64,497,80,4.5,74.8,16.5,503,342,2883,8.4,11,110,55,2.3,19.5,68.00%,5.7,2784,5,13956,75,35,95,
3 yrs,,IND,,,48,48,784,2953,13,147,37,3.8,61.5,16.3,143,101,789,7.8,6,34,49,2.1,16.4,70.60%,5.5,885,4.2,3742,19,9,25,
1 yr,,BUF,,,16,8,166,599,2,30,41,3.6,37.4,10.4,16,13,100,7.7,0,5,18,0.8,6.3,81.30%,6.3,179,3.9,699,2,0,4,
1 yr,,MIA,,,14,14,156,722,0,25,39,4.6,51.6,11.1,16,12,124,10.3,1,8,24,0.9,8.9,75.00%,7.8,168,5,846,1,1,5,
1 yr,,NYJ,,,15,14,187,653,2,32,17,3.5,43.5,12.5,19,16,89,5.6,0,3,9,1.1,5.9,84.20%,4.7,203,3.7,742,2,1,4,
