Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1986,25,MIN,LT,65,16,16,,,,,,,0,2,0,0,0,,,,,10,
1987*+,26,MIN,LT,65,12,12,,,,,,,0,1,4,0,0,,,,,12,AP1 PB
1988*+,27,MIN,LT,65,16,16,,,,,,,,,,,0,,,,,15,AP1 PB
1989*,28,MIN,LT,65,16,16,,,,,,,,,,,0,,,,,9,PB
1990,29,MIN,LT,65,16,16,,,,,,,,,,,0,,,,,7,
1991,30,MIN,LT,65,16,16,,,,,,,,,,,0,,,,,8,
1992*,31,MIN,LT,65,16,16,,,,,,,,,,,0,,,,,11,PB
1993,32,DEN,LT,65,16,16,,,,,,0,0,1,0,0,0,,,,,14,AP2
1994*,33,DEN,LT,65,16,16,,,,,,,,,,,0,,,,,11,PB
1995*,34,DEN,LT,65,16,16,,,,,,,,,,,0,,,,,14,AP2 PB
1996*+,35,DEN,LT,65,14,14,,,,,,,,,,,0,,,,,15,AP1 PB
1997,36,DEN,LT/rt,65,14,14,,,,,,,,,,,0,,,,,9,
Career,,,,,184,184,,,,,,0,0,4,4,0,0,,,,,135,
7 yrs,,MIN,,,108,108,,,,,,,0,3,4,0,0,,,,,72,
5 yrs,,DEN,,,76,76,,,,,,0,0,1,0,0,0,,,,,63,
