Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1967,22,OAK,LG,63,14,14,,,,,,,0,1,3,0,0,,6,AP AFL ORoY-2
1968*+,23,OAK,LG,63,14,14,,,,,,,,,,,0,,13,AP1 PB
1969+,24,OAK,LG,63,14,14,,,,,,,0,1,0,0,0,,11,AP1
1970+,25,OAK,LG,63,14,14,,,,,,,0,1,0,0,0,,12,AP1
1971,26,OAK,LG,63,14,14,,,,,,,,,,,0,,8,
1972*,27,OAK,LG,63,14,14,,,,,,,,,,,0,,11,AP2 PB
1973*,28,OAK,LG,63,14,14,,,,,,,,,,,0,,10,PB
1974*+,29,OAK,LG,63,14,14,,,,,,,,,,,0,,14,AP1 PB
1975*,30,OAK,LG,63,14,14,,,,,,,,,,,0,,12,AP2 PB
1976*,31,OAK,LG,63,14,14,,,,,,,,,,,0,,13,AP2 PB
1977*+,32,OAK,LG,63,14,14,,,,,,,,,,,0,,16,AP1 PB
1978,33,OAK,LG,63,16,16,,,,,,,,,,,0,,7,
1979,34,OAK,LG,63,16,16,,,,,,,0,1,0,0,0,,7,
1980,35,OAK,LG,63,16,16,,,,,,,0,1,0,0,0,,7,
1981,36,OAK,lg,63,15,5,,,,,,,,,,,0,,2,
Career,,,,,217,207,,,,,,,0,5,3,0,0,,149,
