Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2006,22,BAL,RDT,92,16,16,1,60,0,60,2,,,,,,1,31,13,18,2,3,,8,
2007,23,BAL,RDE,92,16,16,0,0,0,0,1,1,0,0,0,0,3,63,44,19,6,10,,7,
2008,24,BAL,NT,92,16,16,2,8,0,7,6,,,,,,1,55,43,12,6,9,,16,AP2
2009*,25,BAL,LDE,92,14,13,0,0,0,0,1,1,0,1,0,0,1.5,35,26,9,7,7,,12,AP2 PB
2010*+,26,BAL,LDE,92,16,15,0,0,0,0,5,0,0,1,0,0,5.5,63,47,16,12,14,,17,AP DPoY-6 AP1 PB
2011*+,27,BAL,LDE,92,16,16,0,0,0,0,6,2,0,3,28,1,5,65,37,28,6,8,,19,AP1 PB
2012*,28,BAL,LDE,92,14,14,0,0,0,0,1,,,,,,5,51,33,18,7,14,,13,AP2 PB
2013*,29,BAL,NT,92,15,15,0,0,0,0,3,,,,,,1.5,52,23,29,3,6,,11,PB
2014,30,BAL,LDE,92,12,12,2,16,0,13,7,2,0,0,0,0,2,32,19,13,2,3,,6,
2015,31,DET,RDT,92,14,14,0,0,0,0,3,,,,,,2.5,24,15,9,6,8,,5,
2016,32,DET,RDT,92,13,13,0,0,0,0,3,,,,,,1.5,22,11,11,0,3,,5,
2017,33,DET,rdt,92,5,5,0,0,0,0,1,,,,,,2,7,7,0,2,3,,2,
2018,34,PHI,LDT,94,13,9,0,0,0,0,1,1,0,0,0,0,1,17,11,6,4,3,,4,
Career,,,,,180,174,5,84,0,60,40,7,0,5,28,1,32.5,517,329,188,63,91,,125,
9 yrs,,BAL,,,135,133,5,84,0,60,32,6,0,5,28,1,25.5,447,285,162,51,74,,109,
3 yrs,,DET,,,32,32,0,0,0,0,7,,,,,,6,53,33,20,8,14,,12,
1 yr,,PHI,,,13,9,0,0,0,0,1,1,0,0,0,0,1,17,11,6,4,3,,4,
