Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1987,22,PIT,lb,54,12,0,,,,,,,0,1,0,0,0,17,,,,,,1,
1988,23,PIT,RILB,54,15,10,1,0,0,0,,1,0,1,0,0,3.5,99,,,,,,4,
1989,24,PIT,RILB,54,10,8,,,,,,,,,,,1,35,,,,,,4,
1990,25,PIT,LILB,54,16,14,,,,,,2,0,0,0,0,2,67,,,,,,8,
1991,26,PIT,LILB,54,16,14,,,,,,2,0,0,0,0,1,94,,,,,,6,
1992,27,PIT,LILB,54,15,15,,,,,,,0,2,44,0,2,114,,,,,,10,
1993*+,28,TAM,MLB,56,16,16,1,6,0,6,,1,0,1,0,0,1,214,,,,,,13,AP DPoY-6 AP1 PB
1994,29,TAM,MLB,56,14,14,2,9,0,10,,1,0,0,0,0,1,122,86,36,,,,6,
1995,30,TAM,MLB,56,16,16,,,,,,3,0,3,0,0,1.5,143,89,54,,,,8,
1996*,31,TAM,MLB,56,16,16,2,24,0,17,,2,0,2,0,0,3,120,76,44,,,,14,AP2 PB
1997*+,32,TAM,MLB,56,16,16,,,,,,2,0,2,0,0,1,147,105,42,,,,17,AP1 PB
1998*,33,TAM,MLB,56,10,10,,,,,,1,0,1,0,0,1,70,45,25,,,,8,PB
1999*,34,TAM,MLB,56,16,16,2,18,0,18,5,3,0,0,0,0,0.5,110,66,44,6,,,14,AP2 PB
2000,35,JAX,mlb,56,6,6,1,10,0,10,7,,,,,,1,31,27,4,2,,,3,
2001,36,JAX,MLB,56,15,14,3,4,0,2,9,1,0,1,0,0,0,117,89,28,4,,,8,
2002,37,GNB,MLB,56,16,15,0,0,0,0,3,,,,,,1.5,86,49,37,4,,,7,
Career,,,,,225,200,12,71,0,18,24,19,0,14,44,0,21,1586,632,314,16,,,131,
7 yrs,,TAM,,,104,104,7,57,0,18,5,13,0,9,0,0,9,926,467,245,6,,,80,
6 yrs,,PIT,,,84,61,1,0,0,0,,5,0,4,44,0,9.5,426,,0,,,,33,
2 yrs,,JAX,,,21,20,4,14,0,10,16,1,0,1,0,0,1,148,116,32,6,,,11,
1 yr,,GNB,,,16,15,0,0,0,0,3,,,,,,1.5,86,49,37,4,,,7,
