Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1968,22,RAM,fl,48,2,0,0,0,,0,0,0,0,,,,,,,,0,,0,0,,0,
1969*,23,PHI,WR,29,14,14,65,1116,17.2,9,65,4.6,79.7,2,10,0,6,5,0.7,0.1,67,16.8,1126,9,0,11,PB
1970,24,PHI,WR,29,14,12,41,613,15,5,79,2.9,43.8,1,-5,0,-5,-5,-0.4,0.1,42,14.5,608,5,0,7,
1971,25,PHI,WR,29,14,12,47,716,15.2,3,69,3.4,51.1,5,41,0,18,8.2,2.9,0.4,52,14.6,757,3,1,7,
1972*,26,PHI,WR,29,14,14,62,1048,16.9,4,77,4.4,74.9,9,76,0,34,8.4,5.4,0.6,71,15.8,1124,4,2,8,AP2 PB
1973*+,27,RAM,WR,29,14,14,40,874,21.9,13,69,2.9,62.4,2,-8,0,-3,-4,-0.6,0.1,42,20.6,866,13,0,18,AP MVP-2 AP1 PB
1974,28,RAM,WR,29,14,14,30,514,17.1,5,44,2.1,36.7,1,4,0,4,4,0.3,0.1,31,16.7,518,5,0,7,
1975*,29,RAM,WR,29,14,14,43,786,18.3,7,54,3.1,56.1,,,,,,,,43,18.3,786,7,1,11,PB
1976,30,RAM,WR,29,14,14,39,751,19.3,5,65,2.8,53.6,1,15,0,15,15,1.1,0.1,40,19.2,766,5,1,10,
1977*,31,RAM,WR,29,14,14,48,666,13.9,6,58,3.4,47.6,1,6,0,6,6,0.4,0.1,49,13.7,672,6,0,11,PB
1978,32,NWE,WR,29,16,13,37,743,20.1,6,57,2.3,46.4,1,7,0,7,7,0.4,0.1,38,19.7,750,6,0,9,
1979,33,NWE,WR,29,16,16,45,1013,22.5,7,59,2.8,63.3,3,12,0,12,4,0.8,0.2,48,21.4,1025,7,0,10,
1980,34,NWE,WR,29,16,15,35,737,21.1,5,40,2.2,46.1,5,37,0,16,7.4,2.3,0.3,40,19.4,774,5,0,9,
1981,35,NWE,WR,29,16,15,39,669,17.2,0,45,2.4,41.8,2,-14,0,-5,-7,-0.9,0.1,41,16,655,0,1,5,
1982,36,MIN,wr,89,1,0,0,0,,0,0,0,0,,,,,,,,0,,0,0,,0,
1983,37,SEA,wr,29,15,6,8,126,15.8,1,29,0.5,8.4,,,,,,,,8,15.8,126,1,1,1,
Career,,,,,208,187,579,10372,17.9,76,79,2.8,49.9,33,181,0,34,5.5,0.9,0.2,612,17.2,10553,76,7,124,
6 yrs,,RAM,,,72,70,200,3591,18,36,69,2.8,49.9,5,17,0,15,3.4,0.2,0.1,205,17.6,3608,36,2,57,
4 yrs,,NWE,,,64,59,156,3162,20.3,18,59,2.4,49.4,11,42,0,16,3.8,0.7,0.2,167,19.2,3204,18,1,33,
4 yrs,,PHI,,,56,52,215,3493,16.2,21,79,3.8,62.4,17,122,0,34,7.2,2.2,0.3,232,15.6,3615,21,3,33,
1 yr,,MIN,,,1,0,0,0,,0,0,0,0,,,,,,,,0,,0,0,,0,
1 yr,,SEA,,,15,6,8,126,15.8,1,29,0.5,8.4,,,,,,,,8,15.8,126,1,1,1,
