Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1976,23,NYG,MLB,53,12,8,,,,,,,0,1,0,0,2,,5,
1977,24,NYG,MLB,53,14,14,,,,,,,0,1,0,0,2,,7,
1978*,25,NYG,MLB,53,16,16,3,86,0,42,,,0,1,0,0,2,,11,AP2 PB
1979*,26,NYG,RILB,53,16,15,3,28,0,14,,,0,3,22,1,1,,11,PB
1980,27,NYG,RILB,53,8,7,,,,,,,0,1,0,0,0,,3,
1981*,28,NYG,RILB,53,16,16,,,,,,,0,1,2,0,4,,12,PB
1982*,29,NYG,RILB,53,9,9,1,6,0,6,,,,,,,3,,13,AP2 PB
1983*,30,NYG,RILB,53,10,10,,,,,,,,,,,1,,8,PB
1984*,31,NYG,RILB,53,16,16,1,6,0,6,,,0,1,0,0,0,,10,PB
1985*,32,NYG,RILB,53,16,16,,,,,,,,,,,1,,12,AP2 PB
1986*,33,NYG,RILB,53,16,16,1,20,0,20,,,0,2,0,0,2,,14,AP2 PB
1987*,34,NYG,RILB,53,12,12,,,,,,,0,1,0,0,1,,9,PB
1988,35,NYG,RILB,53,12,11,2,66,0,66,,,0,2,12,0,0,,11,
Career,,,,,173,166,11,212,0,66,,,0,14,36,1,19,,126,
