Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1983,22,RAM,wr,80,12,0,,16,268,16.8,0,,44,1.3,22.3,,,3,7,0,,12,2.3,0.6,0.3,19,14.5,275,0,2,3,
1984*+,23,RAM,WR,80,16,16,,34,622,18.3,6,,63,2.1,38.9,,,3,-5,0,,5,-1.7,-0.3,0.2,37,16.7,617,6,4,9,AP1 PB
1985,24,RAM,WR,80,16,16,,54,811,15,5,,64,3.4,50.7,,,3,8,0,,16,2.7,0.5,0.2,57,14.4,819,5,5,8,
1986,25,RAM,WR,80,9,8,,34,447,13.1,4,,34,3.8,49.7,,,1,-15,0,,-15,-15,-1.7,0.1,35,12.3,432,4,3,4,
1987,26,RAM,WR,80,12,12,,51,799,15.7,3,,81,4.3,66.6,,,1,4,0,,4,4,0.3,0.1,52,15.4,803,3,3,9,
1988*+,27,RAM,WR,80,16,15,,86,1414,16.4,10,,68,5.4,88.4,,,1,7,0,,7,7,0.4,0.1,87,16.3,1421,10,3,14,AP1 PB
1989*,28,RAM,WR,80,14,12,,70,1382,19.7,8,,53,5,98.7,,,2,10,0,,6,5,0.7,0.1,72,19.3,1392,8,0,13,PB
1990,29,RAM,WR,80,15,15,,76,1294,17,4,,50,5.1,86.3,,,2,21,0,,13,10.5,1.4,0.1,78,16.9,1315,4,4,12,
1991,30,RAM,WR,80,16,16,,64,1052,16.4,3,,38,4,65.8,,,,,,,,,,,64,16.4,1052,3,1,8,
1992,31,RAM,WR,80,16,15,88,47,727,15.5,3,,33,2.9,45.4,53.40%,8.3,,,,,,,,,47,15.5,727,3,0,7,
1993,32,RAM,WR,80,16,16,117,61,945,15.5,2,,54,3.8,59.1,52.10%,8.1,2,18,0,,15,9,1.1,0.1,63,15.3,963,2,0,9,
1994,33,WAS,WR,85,16,16,150,74,1397,18.9,6,70,73,4.6,87.3,49.30%,9.3,1,-5,0,0,-5,-5,-0.3,0.1,75,18.6,1392,6,1,12,
1995,34,WAS,WR,85,15,15,113,56,1005,17.9,5,48,59,3.7,67,49.60%,8.9,,,,,,,,,56,17.9,1005,5,1,9,
1996,35,WAS,WR,85,16,16,98,52,1014,19.5,2,49,51,3.3,63.4,53.10%,10.3,,,,,,,,,52,19.5,1014,2,0,12,
1997,36,WAS,WR,85,16,11,65,32,485,15.2,4,29,27,2,30.3,49.20%,7.5,,,,,,,,,32,15.2,485,4,0,4,
1998,37,2TM,,,7,0,18,7,115,16.4,0,,19,1,16.4,38.90%,6.4,,,,,,,,,7,16.4,115,0,0,1,
,,NWE,wr,17,5,0,15,5,86,17.2,0,4,19,1,17.2,33.30%,5.7,,,,,,,,,5,17.2,86,0,0,1,
,,WAS,wr,85,2,0,3,2,29,14.5,0,2,19,1,14.5,66.70%,9.7,,,,,,,,,2,14.5,29,0,0,0,
Career,,,,,228,199,649,814,13777,16.9,65,202,81,3.6,60.4,50.70%,8.8,19,50,0,0,16,2.6,0.2,0.1,833,16.6,13827,65,27,134,
11 yrs,,RAM,,,158,141,205,593,9761,16.5,48,0,81,3.8,61.8,52.70%,8.2,18,55,0,0,16,3.1,0.3,0.1,611,16.1,9816,48,25,96,
5 yrs,,WAS,,,65,58,429,216,3930,18.2,17,198,73,3.3,60.5,50.30%,9.2,1,-5,0,0,0,-5,-0.1,0,217,18.1,3925,17,2,37,
1 yr,,NWE,,,5,0,15,5,86,17.2,0,4,19,1,17.2,33.30%,5.7,,,,,,,,,5,17.2,86,0,0,1,
