Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1957,22,CLE,dt,72,12,0,,,,,,,,,,,,,,
1958,23,CLE,dt,72,12,0,,,,,,,0,1,0,0,,,,
1959,24,GNB,RDT,74,12,12,,,,,,,0,2,0,0,,,,
1960*+,25,GNB,RDT/ldt,74,12,12,,,,,,,0,5,0,0,7.5,,15,AP1 PB
1961*+,26,GNB,RDT,74,14,9,,,,,,,,,,,8.5,,11,AP1 PB
1962+,27,GNB,RDT,74,14,14,1,0,0,0,,,0,1,7,0,8.5,,18,AP1
1963*+,28,GNB,RDT,74,14,12,,,,,,,0,4,0,0,5,,17,AP1 PB
1964+,29,GNB,RDT,74,12,12,,,,,,,0,3,60,1,7,,13,AP1
1965,30,GNB,RDT,74,14,14,,,,,,,0,3,0,0,5,,9,
1966*,31,GNB,RDT,74,14,13,,,,,,,,,,,6.5,,12,AP2 PB
1967,32,GNB,RDT,74,14,14,,,,,,,,,,,7.5,,9,
1968,33,GNB,RDT,74,14,14,,,,,,,0,2,0,0,2.5,,7,
1969,34,GNB,rdt,74,5,5,,,,,,,,,,,1.5,,3,
Career,,,,,163,131,1,0,0,0,,,0,21,67,1,59.5,,114,
11 yrs,,GNB,,,139,131,1,0,0,0,,,0,20,67,1,59.5,,114,
2 yrs,,CLE,,,24,0,,,,,,,0,1,0,0,0,,,
