Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1961,22,GNB,db,26,14,1,1,9,0,9,,,1,0,0,0,0,,1,
1962+,23,GNB,LCB,26,14,14,7,132,1,50,,,2,4,15,0,0,,22,AP1
1963*+,24,GNB,LCB,26,14,14,5,86,0,39,,,1,0,0,0,0,,17,AP1 PB
1964*,25,GNB,LCB,26,13,13,4,56,0,35,,,1,1,18,0,0,,11,AP2 PB
1965*+,26,GNB,LCB,26,14,14,6,175,3,44,,,1,3,2,0,0,,16,AP1 PB
1966*+,27,GNB,LCB,26,14,14,4,125,1,68,,,1,2,0,0,0,,15,AP1 PB
1967*,28,GNB,LCB,26,14,14,4,16,1,12,,,0,1,0,0,0,,12,AP2 PB
1968,29,GNB,LCB,26,14,14,3,27,0,17,,,2,2,25,0,0,,8,
1969+,30,GNB,LCB,26,14,14,5,169,1,80,,,,,,,1,,9,AP1
1970,31,DAL,LCB,26,14,14,3,69,0,30,,,,,,,0,,7,
1971,32,DAL,LCB,26,12,12,6,182,0,46,,,,,,,0,,8,
1972,33,DAL,LCB,26,13,7,,,,,,,0,1,5,0,0,,4,
Career,,,,,164,145,48,1046,7,80,,,9,14,65,0,1,,130,
9 yrs,,GNB,,,125,112,39,795,7,80,,,9,13,60,0,1,,111,
3 yrs,,DAL,,,39,33,9,251,0,46,,,0,1,5,0,0,,19,
