Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1981,21,OAK,de,75,16,0,,,,,,,,,,,7.5,,2,
1982,22,RAI,LDE,75,9,5,,,,,,,,,,,5.5,,4,
1983*,23,RAI,LDE,75,16,16,,,,,,,0,2,0,0,13,,13,AP DPoY-13 AP2 PB
1984*+,24,RAI,LDE,75,16,16,,,,,,,0,2,4,0,12,,17,AP1 PB
1985*+,25,RAI,LDE,75,16,16,,,,,,,,,,,10,,18,AP DPoY-2 AP1 PB
1986*,26,RAI,LDE,75,13,12,,,,,,,0,2,0,0,7.5,,8,PB
1987*,27,RAI,LDE,75,14,14,,,,,,,0,2,0,0,4,,11,PB
1988,28,RAI,lde,75,7,6,1,73,0,73,,,,,,,3,,3,
1989*,29,RAI,LDE,75,14,10,,,,,,,0,1,0,0,5,,9,PB
1990,30,RAI,LDE,75,12,11,,,,,,,0,1,1,0,6,,6,
1991,31,RAI,LDE,75,14,13,1,11,0,11,,,,,,,3,,6,
1992*,32,RAI,LDE,75,16,16,,,,,,,,,,,9,,12,PB
1993*,33,RAI,LDE,75,16,16,,,,,,,,,,,6,,10,PB
Career,,,,,179,151,2,84,0,73,,0,0,10,5,0,91.5,,119,
