Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1971*,22,RAM,RLB,58,14,12,4,32,0,20,,,,,,,4,,9,AP DRoY-1 PB
1972,23,RAM,RLB,58,14,14,,,,,,,0,1,0,0,3,,7,
1973*+,24,RAM,RLB,58,14,14,3,57,1,49,,,1,2,0,0,1.5,,17,AP DPoY-2 AP1 PB
1974*,25,RAM,RLB,58,14,14,2,11,0,6,,,0,1,13,0,0,,13,AP2 PB
1975*,26,RAM,RLB,58,14,14,4,118,1,76,,,0,2,0,0,2,,17,AP2 PB
1976*+,27,RAM,RLB,58,14,14,4,28,0,14,,,1,2,6,0,1,,15,AP1 PB
1977*,28,RAM,RLB,58,14,14,1,20,0,20,,,0,1,0,0,4,,13,AP2 PB
1978,29,RAM,rlb,58,13,6,,,,,,,0,2,16,1,4,,5,
1979,30,BUF,LOLB,58,16,16,2,29,1,23,,,0,2,12,0,1,,9,
1980,31,BUF,ROLB,58,16,16,2,39,0,39,,,0,1,0,0,1.5,,9,
1981,32,BUF,ROLB,58,16,16,2,15,0,15,,,,,,,2.5,,9,
1982,33,BUF,ROLB,58,9,9,1,0,0,0,,,0,1,0,0,0,,8,
Career,,,,,168,159,25,349,3,76,,,2,15,47,1,24.5,,131,
8 yrs,,RAM,,,111,102,18,266,2,76,,,2,11,35,1,19.5,,96,
4 yrs,,BUF,,,57,57,7,83,1,39,,,0,4,12,0,5,,35,
