Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1971,23,PIT,LLB,59,14,13,2,4,0,4,,,0,1,0,0,1,,8,AP DRoY-7
1972,24,PIT,LLB,59,14,14,7,83,1,32,,,1,4,0,0,2,,15,
1973*,25,PIT,LLB,59,13,13,2,30,0,27,,,0,1,0,1,1,,11,PB
1974*+,26,PIT,LLB,59,14,14,5,13,0,10,,,0,1,2,0,0,,15,AP1 PB
1975*+,27,PIT,LLB,59,14,14,1,2,0,2,,,0,1,0,0,3,,16,AP1 PB
1976*+,28,PIT,LLB,59,14,14,2,13,0,13,,,0,2,17,0,4.5,,17,AP1 PB
1977*+,29,PIT,LLB,59,14,14,4,17,0,9,,,1,1,0,0,1,,13,AP1 PB
1978*+,30,PIT,LLB,59,14,14,3,7,0,7,,,0,2,0,0,4,,14,AP DPoY-2 AP1 PB
1979*+,31,PIT,LLB,59,15,15,2,8,0,8,,,0,1,0,0,5,,13,AP DPoY-4 AP1 PB
1980*,32,PIT,LLB,59,16,16,2,16,0,15,,,0,3,0,0,1,,11,PB
1981,33,PIT,LLB,59,12,11,1,23,0,23,,,0,3,0,0,0,,6,
1982,34,PIT,LOLB,59,8,8,1,2,0,2,,,0,1,0,0,3,,8,
Career,,,,,162,160,32,218,1,32,,,2,21,19,1,25.5,,147,
