Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1974,22,PIT,MLB,58,14,14,2,19,0,13,,,1,1,11,0,2,,9,AP DRoY-1
1975*,23,PIT,MLB,58,14,14,2,35,0,24,,,0,1,21,0,1,,14,AP2 PB
1976*+,24,PIT,MLB,58,14,14,2,32,0,22,,,0,8,36,0,3.5,,20,AP MVP-2 AP DPoY-1 AP1 PB
1977*,25,PIT,MLB,58,11,10,1,5,0,5,,,,,,,0,,7,PB
1978*,26,PIT,MLB,58,16,16,4,41,0,24,,,0,2,0,0,3.5,,12,AP DPoY-4 PB
1979*+,27,PIT,MLB,58,16,15,6,29,0,23,,,,,,,3.5,,14,AP DPoY-3 AP1 PB
1980*+,28,PIT,MLB,58,14,13,2,1,0,1,,,,,,,0,,12,AP1 PB
1981*+,29,PIT,MLB,58,16,16,6,76,0,31,,,0,2,38,0,2,,14,AP DPoY-7 AP1 PB
1982*+,30,PIT,RILB,58,8,8,1,6,0,6,,,0,1,1,0,4,,16,AP DPoY-7 AP1 PB
1983*+,31,PIT,RILB,58,15,15,2,-1,0,0,,,0,2,0,0,4,,17,AP DPoY-5 AP1 PB
1984,32,PIT,LB,58,8,3,,,,,,,,,,,0,,2,
Career,,,,,146,138,28,243,0,31,,,1,17,107,0,23.5,,137,
