Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1971,21,RAM,DE,85,14,4,,,,,,,,,,,3,,3,
1972,22,RAM,LDE,85,14,9,,,,,,,0,1,3,0,6,,6,
1973*,23,RAM,LDE,85,14,14,,,,,,,0,1,0,0,16.5,,13,PB
1974*+,24,RAM,LDE,85,14,14,,,,,,,,,,,15,,15,AP1 PB
1975*+,25,RAM,LDE,85,14,14,,,,,,,0,2,9,0,15,1,19,AP1 PB
1976*+,26,RAM,LDE,85,14,14,,,,,,,0,1,1,0,14.5,,15,AP1 PB
1977*,27,RAM,LDE,85,14,14,,,,,,,0,1,0,0,9.5,,14,AP2 PB
1978*+,28,RAM,LDE,85,16,16,,,,,,,0,1,0,0,7,,14,AP1 PB
1979*+,29,RAM,LDE,85,16,16,,,,,,,,,,,18,,13,AP DPoY-4 AP1 PB
1980,30,RAM,LDE,85,16,16,,,,,,,,,,,11.5,,8,
1981,31,RAM,LDE,85,16,16,,,,,,,,,,,11.5,,7,
1982,32,RAM,LDE,85,9,9,,,,,,,,,,,4,,5,
1983,33,RAM,LDE,85,16,16,,,,,,,0,2,0,0,10.5,1,8,
1984,34,RAM,LDE,85,15,15,,,,,,,0,1,9,0,9.5,,7,
Career,,,,,202,187,,,,,,,0,10,22,0,151.5,2,147,
