Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2006,23,NOR,RG,73,16,16,,,,,,0,0,2,1,0,0,,,,,,,8,
2007,24,NOR,RG,73,16,16,,,,,,0,0,1,0,0,0,,,,,,,9,
2008,25,NOR,RG,73,16,16,,,,,,,,,,,0,,,,,,,11,
2009*+,26,NOR,RG,73,16,16,,,,,,,,,,,0,,,,,,,18,AP1 PB
2010*+,27,NOR,RG,73,16,16,,,,,,,,,,,0,,,,,,,15,AP1 PB
2011*+,28,NOR,RG,73,16,16,,,,,,,,,,,0,,,,,,,20,AP1 PB
2012*+,29,NOR,RG,73,16,16,,,,,,,,,,,0,,,,,,,16,AP1 PB
2013*,30,NOR,RG,73,14,14,,,,,,,,,,,0,,,,,,,12,AP2 PB
2014*,31,NOR,RG,73,16,16,,,,,,0,0,1,0,0,0,,,,,,,12,PB
2015,32,NOR,RG,73,11,11,,,,,,,,,,,0,,,,,,,7,
2016,33,NOR,RG,73,16,16,,,,,,,,,,,0,,,,,,,10,
2017,34,GNB,RG,73,14,14,,,,,,0,0,1,0,0,0,,,,,,,7,
Career,,,,,183,183,,,,,,0,0,5,1,0,0,,,,,,,145,
11 yrs,,NOR,,,169,169,,,,,,0,0,4,1,0,0,,,,,,,138,
1 yr,,GNB,,,14,14,,,,,,0,0,1,0,0,0,,,,,,,7,
