Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1997,22,NYJ,ROLB,58,16,15,,,,,,1,0,0,0,0,1.5,71,53,18,,,,8,
1998,23,NYJ,lb,58,12,2,,,,,,0,0,1,0,0,0,27,17,10,,,,2,
1999,24,NYJ,lb,58,16,4,0,0,0,0,2,1,0,0,0,0,2,51,42,9,5,,,3,
2000,25,NYJ,rolb,58,16,6,1,0,0,0,5,1,0,1,0,0,1,61,51,10,6,,,5,
2001,26,NYJ,RLB,58,16,16,2,84,0,47,9,3,0,0,0,0,1,145,109,36,5,,,8,
2002,27,PIT,RILB,51,14,14,0,0,0,0,1,0,0,1,4,0,0,82,60,22,11,,,7,
2003,28,PIT,LILB,51,16,16,1,9,0,9,4,0,1,1,0,0,0,141,96,45,11,,,9,
2004*+,29,PIT,LILB,51,16,16,4,113,1,41,12,3,0,3,0,0,3,95,67,28,9,,,19,AP DPoY-2 AP1 PB
2005,30,PIT,LILB,51,14,14,0,0,0,0,4,2,0,1,0,0,2,121,76,45,7,,,8,
2006,31,PIT,LILB,51,16,16,1,1,0,1,6,2,0,1,0,0,4,128,85,43,9,7,,9,
2007,32,PIT,LILB,51,16,16,1,0,0,0,8,2,0,0,0,0,6.5,96,65,31,9,15,,8,
2008*,33,PIT,LILB,51,16,16,0,0,0,0,5,1,0,1,0,0,3.5,133,89,44,9,6,,16,AP2 PB
2009,34,PIT,LILB,51,16,16,1,18,0,18,5,1,0,1,1,0,3,102,68,34,4,6,,8,
2010,35,PIT,LILB,51,16,16,0,0,0,0,5,1,0,1,8,0,6,109,80,29,11,8,,10,
2011,36,PIT,LILB,51,14,14,0,0,0,0,3,,,,,,2,78,54,24,2,5,,8,
Career,,,,,230,197,11,225,1,47,69,18,1,12,13,0,35.5,1440,1012,428,98,47,,128,
10 yrs,,PIT,,,154,154,8,141,1,41,53,12,1,10,13,0,30,1085,740,345,82,47,,102,
5 yrs,,NYJ,,,76,43,3,84,0,47,16,6,0,2,0,0,5.5,355,272,83,16,,,26,
