Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2002,24,PIT,lb,93,1,0,,,,,,,,,,,0,,,,,,,0,
2004,26,PIT,lb,92,16,4,0,0,0,0,3,0,0,1,18,1,1,50,39,11,8,,,4,
2005,27,PIT,lb,92,16,3,1,25,0,25,3,0,0,1,0,0,3,57,43,14,9,,,4,
2006,28,PIT,lb,92,11,1,,,,,,,,,,,0,20,14,6,1,2,,1,
2007*,29,PIT,ROLB,92,16,16,1,20,0,20,2,7,0,3,0,0,8.5,98,76,22,12,17,,14,AP DPoY-7 AP2 PB
2008*+,30,PIT,ROLB,92,15,15,1,33,0,33,3,7,1,0,-18,0,16,101,67,34,16,19,1,19,AP MVP-4 AP DPoY-1 AP1 PB
2009*,31,PIT,ROLB,92,16,16,0,0,0,0,2,5,0,2,0,0,10,79,60,19,14,14,,14,AP2 PB
2010*+,32,PIT,ROLB,92,16,16,2,2,0,2,5,6,0,1,0,0,10.5,100,70,30,13,21,,19,AP DPoY-3 AP1 PB
2011*,33,PIT,ROLB,92,11,11,,,,,,2,0,0,0,0,9,59,48,11,13,16,,10,PB
2012,34,PIT,ROLB,92,13,13,,,,,,2,0,0,0,0,6,70,49,21,10,13,,8,
2013,35,CIN,LLB,92,15,10,1,9,0,9,1,0,0,1,0,0,2,31,16,15,5,6,,6,
2014,36,PIT,lb,92,11,4,,,,,,,,,,,5.5,45,29,16,8,14,,3,
2015,37,PIT,lb,92,15,1,1,6,0,6,4,2,0,0,0,0,5,40,27,13,8,15,,3,
2016,38,PIT,ROLB,92,15,7,1,0,0,0,1,2,0,0,0,0,5,53,39,14,9,9,,5,
2017,39,2TM,,,6,0,,,,,,1,0,0,0,0,3,8,6,2,2,4,,0,
,,NWE,lb,92,1,0,,,,,,1,0,0,0,0,2,5,3,2,1,2,,0,
,,PIT,lb,92,5,0,,,,,,,,,,,1,3,3,0,1,2,,0,
Career,,,,,193,117,8,95,0,33,24,34,1,9,0,1,84.5,811,583,228,128,150,1,110,
14 yrs,,PIT,,,177,107,7,86,0,33,23,33,1,8,0,1,80.5,772,561,211,122,142,1,104,
1 yr,,CIN,,,15,10,1,9,0,9,1,0,0,1,0,0,2,31,16,15,5,6,,6,
1 yr,,NWE,,,1,0,,,,,,1,0,0,0,0,2,,,2,1,2,,0,
