Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2004,22,KAN,RDE,69,15,10,,,,,,,,,,,9,31,29,2,10,,,4,AP DRoY-5
2005,23,KAN,RDE,69,16,15,0,0,0,0,5,6,0,2,0,0,11,58,51,7,12,,,8,
2006,24,KAN,RDE,69,16,16,1,3,0,3,10,5,1,6,24,0,7.5,76,64,12,15,15,,11,
2007*+,25,KAN,RDE,69,14,14,0,0,0,0,11,3,0,0,0,0,15.5,65,56,9,19,24,,17,AP1 PB
2008*+,26,MIN,RDE,69,16,16,0,0,0,0,3,3,0,0,0,0,14.5,54,41,13,20,28,2,18,AP1 PB
2009*+,27,MIN,RDE,69,16,16,1,-4,0,-4,4,5,0,3,54,1,14.5,51,43,8,19,23,1,17,AP DPoY-5 AP1 PB
2010,28,MIN,RDE,69,16,16,2,40,1,36,6,1,0,1,0,0,11,60,45,15,14,25,,10,
2011*+,29,MIN,RDE,69,16,16,1,14,0,14,3,4,0,4,6,0,22,66,48,18,21,32,1,14,AP DPoY-2 AP1 PB
2012*,30,MIN,RDE,69,16,16,0,0,0,0,3,1,0,1,0,0,12,46,36,10,17,21,,10,PB
2013,31,MIN,RDE,69,16,16,0,0,0,0,6,2,0,0,0,0,11.5,52,33,19,13,26,,6,
2014,32,CHI,RDE,69,15,15,0,0,0,0,4,2,0,2,0,0,5.5,57,38,19,7,18,,6,
2015,33,2TM,,,15,15,1,2,0,2,3,,,,,,2,32,19,13,4,16,,6,
,,CAR,RDE,69,12,12,0,0,0,0,2,,,,,,2,27,15,12,4,13,,5,
,,CHI,de,69,3,3,1,2,0,2,1,,,,,,0,5,4,1,0,3,,1,
Career,,,,,187,181,6,55,1,36,58,32,1,19,84,1,136,648,503,145,171,228,4,127,
6 yrs,,MIN,,,96,96,4,50,1,36,25,16,0,9,60,1,85.5,329,246,83,104,155,4,75,
4 yrs,,KAN,,,61,55,1,3,0,3,26,14,1,8,24,0,43,230,200,30,56,39,,40,
2 yrs,,CHI,,,18,18,1,2,0,2,5,2,0,2,0,0,5.5,57,38,20,7,21,,7,
1 yr,,CAR,,,12,12,0,0,0,0,2,,,,,,2,,,12,4,13,,5,
