Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2004,22,BUF,t,71,5,1,,,,,,0,0,1,0,0,0,4,2,2,0,,,1,
2005,23,BUF,RT,71,16,10,,,,,,,,,,,0,4,2,2,0,,,5,
2006,24,BUF,LT/rt,71,16,16,,,,,,0,0,1,0,0,0,,,,,,,7,
2007*,25,BUF,LT,71,15,15,,,,,,0,0,1,0,0,0,,,,,,,9,AP2 PB
2008*,26,BUF,LT,71,13,13,,,,,,0,0,1,0,0,0,,,,,,,10,AP2 PB
2009*,27,PHI,LT,71,15,15,,,,,,0,0,1,0,0,0,,,,,,,10,PB
2010*,28,PHI,LT,71,13,13,,,,,,,,,,,0,,,,,,,12,AP2 PB
2011*+,29,PHI,LT,71,14,14,,,,,,0,0,1,7,0,0,,,,,,,13,AP1 PB
2013*+,31,PHI,LT,71,16,16,,,,,,,,,,,0,,,,,,,14,AP CPoY-2 AP1 PB
2014*,32,PHI,LT,71,16,16,,,,,,,,,,,0,,,,,,,12,AP2 PB
2015*,33,PHI,LT,71,14,14,,,,,,,,,,,0,,,,,,,8,PB
2016*,34,PHI,LT,71,16,16,,,,,,,,,,,0,,,,,,,10,PB
2017,35,PHI,lt,71,7,7,,,,,,,,,,,0,,,,,,,4,
2018,36,PHI,LT,71,16,16,,,,,,,,,,,0,,,,,,,7,
2019,37,PHI,LT,71,13,13,,,,,,,,,,,0,,,,,,,6,
2020,38,PHI,lt,71,8,8,,,,,,,,,,,0,,,,,,,3,
2021,39,CHI,LT,71,15,15,,,,,,,,,,,0,1,1,0,0,0,,6,
2022,40,DAL,T,71,2,0,,,,,,,,,,,0,,,,,,,,
Career,,,,,230,218,,,,,,0,0,6,7,0,0,9,5,4,0,0,,137,
11 yrs,,PHI,,,148,148,,,,,,0,0,2,7,0,0,,,,,,,99,
5 yrs,,BUF,,,65,55,,,,,,0,0,4,0,0,0,8,4,4,0,0,,32,
1 yr,,CHI,,,15,15,,,,,,,,,,,0,1,1,0,0,0,,6,
1 yr,,DAL,,,2,0,,,,,,,,,,,0,,,,,,,,
