Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1997,23,MIA,RDE,99,13,11,,,,,,2,0,2,0,0,5,42,30,12,,,,6,AP DRoY-4
1998,24,MIA,RDE,99,16,15,,,,,,3,0,0,0,0,9,52,34,18,,,,9,AP DPoY-6
1999,25,MIA,RDE,99,15,15,1,0,0,0,4,0,0,2,4,1,2.5,45,30,15,10,,,8,
2000*+,26,MIA,RDE,99,16,16,1,2,0,2,6,2,0,4,29,1,14.5,65,35,30,13,,,20,AP DPoY-6 AP1 PB
2001,27,MIA,RDE,99,16,16,1,4,0,4,8,4,0,4,7,1,8.5,71,48,23,15,,,15,AP2
2002*+,28,MIA,RDE,99,16,16,0,0,0,0,8,7,0,2,5,0,18.5,70,46,24,17,,,15,AP DPoY-2 AP1 PB
2003,29,MIA,RDE,99,16,16,0,0,0,0,3,3,0,2,34,1,13,59,39,20,16,,1,10,
2004*,30,MIA,RDE,99,16,16,1,-3,0,-3,11,2,0,3,1,0,9.5,68,41,27,12,,,14,PB
2005*,31,MIA,RDE,99,16,16,0,0,0,0,10,4,0,2,85,1,12,73,52,21,12,,1,12,PB
2006*+,32,MIA,RDE,99,16,16,2,71,2,51,11,9,0,2,33,0,13.5,62,42,20,12,14,,19,AP DPoY-1 AP1 PB
2007*,33,MIA,RDE,99,16,16,1,36,1,36,4,3,0,3,0,0,11,56,47,9,16,16,,9,PB
2008,34,WAS,DE,55,13,8,0,0,0,0,9,1,0,0,0,0,3.5,29,21,8,6,4,,6,
2009,35,MIA,LOLB,99,16,15,1,0,0,0,5,3,0,1,48,1,7,42,33,9,9,10,,6,
2010,36,NYJ,ROLB,99,16,5,0,0,0,0,6,2,0,2,0,0,5,36,25,11,8,7,1,5,
2011,37,MIA,DE,99,16,2,0,0,0,0,2,1,0,0,0,0,7,18,13,5,5,16,,3,
Career,,,,,233,199,8,110,3,51,87,46,0,29,246,6,139.5,788,536,252,151,67,3,157,
13 yrs,,MIA,,,204,186,8,110,3,51,72,43,0,27,246,6,131,723,490,233,137,56,2,146,
1 yr,,NYJ,,,16,5,0,0,0,0,6,2,0,2,0,0,5,36,25,11,8,7,1,5,
1 yr,,WAS,,,13,8,0,0,0,0,9,1,0,0,0,0,3.5,29,21,8,6,4,,6,
