Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1999,24,IND,C,63,11,2,,,,,,,,,,,0,,,,,,,2,
2000,25,IND,C,63,16,16,,,,,,0,1,1,0,0,0,,,,,,,10,
2001,26,IND,C,63,16,16,,,,,,,,,,,0,,,,,,,10,
2002,27,IND,C,63,16,16,,,,,,0,0,2,0,0,0,,,,,,,8,
2003,28,IND,C,63,16,16,,,,,,0,1,1,-3,0,0,,,,,,,11,
2004,29,IND,C,63,14,14,,,,,,0,0,1,0,0,0,,,,,,,11,
2005*+,30,IND,C,63,16,16,,,,,,0,0,2,0,0,0,,,,,,,20,AP1 PB
2006*,31,IND,C,63,16,16,,,,,,,,,,,0,,,,,,,17,AP2 PB
2007*+,32,IND,C,63,16,16,,,,,,,,,,,0,,,,,,,19,AP1 PB
2008,33,IND,C,63,12,12,,,,,,,,,,,0,,,,,,,7,
2009*,34,IND,C,63,16,16,,,,,,,,,,,0,,,,,,,12,PB
2010*,35,IND,C,63,16,16,,,,,,0,0,1,0,0,0,,,,,,,12,PB
2011,36,IND,C,63,16,16,,,,,,0,0,1,0,0,0,,,,,,,6,
2012*,37,GNB,C,63,14,14,,,,,,0,0,2,0,0,0,,,,,,,11,PB
Career,,,,,211,202,,,,,,0,2,11,-3,0,0,,,,,,,156,
13 yrs,,IND,,,197,188,,,,,,0,2,9,-3,0,0,,,,,,,145,
1 yr,,GNB,,,14,14,,,,,,0,0,2,0,0,0,,,,,,,11,
