Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1985,23,SFO,WR,80,16,4,,49,927,18.9,3,,66,3.1,57.9,,,6,26,1,,15,4.3,1.6,0.4,55,17.3,953,4,1,9,
1986*+,24,SFO,WR,80,16,15,,86,1570,18.3,15,,66,5.4,98.1,,,10,72,1,,18,7.2,4.5,0.6,96,17.1,1642,16,2,14,AP MVP-6 AP OPoY-3 AP1 PB
1987*+,25,SFO,WR,80,12,12,,65,1078,16.6,22,,57,5.4,89.8,,,8,51,1,,17,6.4,4.3,0.7,73,15.5,1129,23,2,15,AP MVP-2 AP OPoY-1 AP1 PB
1988*+,26,SFO,WR,80,16,16,,64,1306,20.4,9,,96,4,81.6,,,13,107,1,,29,8.2,6.7,0.8,77,18.4,1413,10,2,15,AP1 PB
1989*+,27,SFO,WR,80,16,16,,82,1483,18.1,17,,68,5.1,92.7,,,5,33,0,,17,6.6,2.1,0.3,87,17.4,1516,17,0,17,AP OPoY-2 AP1 PB
1990*+,28,SFO,WR,80,16,16,,100,1502,15,13,,64,6.3,93.9,,,2,0,0,,2,0,0,0.1,102,14.7,1502,13,1,14,AP MVP-7 AP OPoY-5 AP1 PB
1991*,29,SFO,WR,80,16,16,,80,1206,15.1,14,,73,5,75.4,,,1,2,0,,2,2,0.1,0.1,81,14.9,1208,14,1,13,PB
1992*+,30,SFO,WR,80,16,16,139,84,1201,14.3,10,,80,5.3,75.1,60.40%,8.6,9,58,1,,26,6.4,3.6,0.6,93,13.5,1259,11,2,16,AP1 PB
1993*+,31,SFO,WR,80,16,16,153,98,1503,15.3,15,,80,6.1,93.9,64.10%,9.8,3,69,1,,43,23,4.3,0.2,101,15.6,1572,16,3,20,AP MVP-3 AP OPoY-1 AP1 PB
1994*+,32,SFO,WR,80,16,16,151,112,1499,13.4,13,75,69,7,93.7,74.20%,9.9,7,93,2,4,28,13.3,5.8,0.4,119,13.4,1592,15,1,21,AP MVP-3 AP OPoY-3 AP1 PB
1995*+,33,SFO,WR,80,16,16,176,122,1848,15.1,15,74,81,7.6,115.5,69.30%,10.5,5,36,1,3,20,7.2,2.3,0.3,127,14.8,1884,16,3,19,AP MVP-2 AP OPoY-3 AP1 PB
1996*+,34,SFO,WR,80,16,16,153,108,1254,11.6,8,72,39,6.8,78.4,70.60%,8.2,11,77,1,3,38,7,4.8,0.7,119,11.2,1331,9,0,14,AP OPoY-5 AP1 PB
1997,35,SFO,WR,80,2,1,8,7,78,11.1,1,4,16,3.5,39,87.50%,9.8,1,-10,0,0,-10,-10,-5,0.5,8,8.5,68,1,0,1,
1998*,36,SFO,WR,80,16,16,151,82,1157,14.1,9,57,75,5.1,72.3,54.30%,7.7,,,,,,,,,82,14.1,1157,9,2,12,AP CPoY-4 PB
1999,37,SFO,WR,80,16,16,124,67,830,12.4,5,41,62,4.2,51.9,54.00%,6.7,2,13,0,1,11,6.5,0.8,0.1,69,12.2,843,5,0,7,
2000,38,SFO,WR,80,16,16,122,75,805,10.7,7,49,68,4.7,50.3,61.50%,6.6,1,-2,0,0,-2,-2,-0.1,0.1,76,10.6,803,7,3,9,
2001,39,OAK,WR,80,16,15,125,83,1139,13.7,9,62,40,5.2,71.2,66.40%,9.1,,,,,,,,,83,13.7,1139,9,1,12,
2002*,40,OAK,WR,80,16,16,150,92,1211,13.2,7,59,75,5.8,75.7,61.30%,8.1,3,20,0,1,12,6.7,1.3,0.2,95,13,1231,7,1,12,AP2 PB
2003,41,OAK,WR,80,16,15,124,63,869,13.8,2,44,47,3.9,54.3,50.80%,7,,,,,,,,,63,13.8,869,2,2,7,
2004,42,2TM,,,17,14,64,30,429,14.3,3,,56,1.8,25.2,46.90%,6.7,,,,,,,,,30,14.3,429,3,0,4,
,,OAK,WR,80,6,5,15,5,67,13.4,0,4,18,0.8,11.2,33.30%,4.5,,,,,,,,,5,13.4,67,0,0,1,
,,SEA,WR,80,11,9,49,25,362,14.5,3,17,56,2.3,32.9,51.00%,7.4,,,,,,,,,25,14.5,362,3,0,3,
Career,,,,,303,284,1640,1549,22895,14.8,197,558,96,5.1,75.6,62.40%,8.4,87,645,10,12,43,7.4,2.1,0.3,1636,14.4,23540,207,27,251,
16 yrs,,SFO,,,238,224,1177,1281,19247,15,176,372,96,5.4,80.9,64.10%,8.6,84,625,10,11,43,7.4,2.6,0.4,1365,14.6,19872,186,23,216,
4 yrs,,OAK,,,54,51,414,243,3286,13.5,18,169,75,4.5,60.9,58.70%,7.9,3,20,0,1,12,6.7,0.4,0.1,246,13.4,3306,18,4,32,
1 yr,,SEA,,,11,9,49,25,362,14.5,3,17,56,2.3,32.9,51.00%,7.4,,,,,,,,,25,14.5,362,3,0,3,
