Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1957*+,21,CLE,FB,32,12,12,202,942,9,69,4.7,78.5,16.8,16,55,3.4,1,12,1.3,4.6,218,4.6,997,10,7,,AP MVP-1 AP RoY-1 UPI RoY-1 UPI MVP-2 AP1 PB
1958*+,22,CLE,FB,32,12,12,257,1527,17,65,5.9,127.3,21.4,16,138,8.6,1,46,1.3,11.5,273,6.1,1665,18,5,,AP MVP-1 UPI MVP-1 AP1 PB
1959*+,23,CLE,FB,32,12,12,290,1329,14,70,4.6,110.8,24.2,24,190,7.9,0,25,2,15.8,314,4.8,1519,14,2,,AP MVP-3 UPI MVP-2 AP1 PB
1960*+,24,CLE,FB,32,12,12,215,1257,9,71,5.8,104.8,17.9,19,204,10.7,2,37,1.6,17,234,6.2,1461,11,9,21,UPI MVP-3 AP1 PB
1961*+,25,CLE,FB,32,14,14,305,1408,8,38,4.6,100.6,21.8,46,459,10,2,77,3.3,32.8,351,5.3,1867,10,6,19,UPI MVP-4 AP1 PB
1962*,26,CLE,FB,32,14,14,230,996,13,31,4.3,71.1,16.4,47,517,11,5,53,3.4,36.9,277,5.5,1513,18,9,16,PB
1963*+,27,CLE,FB,32,14,14,291,1863,12,80,6.4,133.1,20.8,24,268,11.2,3,83,1.7,19.1,315,6.8,2131,15,7,22,AP MVP-2 UPI MVP-1 AP1 PB
1964*+,28,CLE,FB,32,14,14,280,1446,7,71,5.2,103.3,20,36,340,9.4,2,40,2.6,24.3,316,5.7,1786,9,6,23,AP MVP-2 UPI MVP-3 AP1 PB
1965*+,29,CLE,FB,32,14,14,289,1544,17,67,5.3,110.3,20.6,34,328,9.6,4,32,2.4,23.4,323,5.8,1872,21,6,21,AP MVP-1 UPI MVP-1 AP1 PB
Career,,,,,118,118,2359,12312,106,80,5.2,104.3,20,262,2499,9.5,20,83,2.2,21.2,2621,5.7,14811,126,57,122,
