Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1966,22,STL,qb,7,1,0,,4,11,36.4,29,0,0,0,0,15,2.6,2.6,7.3,29,44.9,2,21,15.4,0.62,0.62,,,0,
1967,23,STL,QB,17,14,14,6-7-1,192,397,48.4,3008,19,4.8,30,7.6,76,7.6,5.1,15.7,214.9,58.4,22,219,5.3,6.66,4.34,2,2,10,AP ORoY-4
1968,24,STL,QB,17,13,12,8-3-1,140,316,44.3,2059,15,4.7,18,5.7,80,6.5,4.9,14.7,158.4,58.2,16,131,4.8,5.81,4.27,2,2,10,
1969,25,STL,qb,17,9,5,2-3-0,84,169,49.7,1086,6,3.6,12,7.1,60,6.4,3.9,12.9,120.7,52.5,10,100,5.6,5.51,3.16,1,1,2,
1970,26,STL,QB,17,14,14,8-5-1,171,373,45.8,2575,14,3.8,18,4.8,79,6.9,5.5,15.1,183.9,61.5,26,216,6.5,5.91,4.58,1,1,12,
1971,27,STL,QB,17,11,9,2-6-1,110,243,45.3,1626,8,3.3,14,5.8,57,6.7,4.8,14.8,147.8,54.7,13,139,5.1,5.81,3.97,1,0,6,
1972,28,STL,qb,17,6,3,2-1-0,60,119,50.4,857,5,4.2,5,4.2,98,7.2,6.2,14.3,142.8,70.6,7,56,5.6,6.36,5.37,,,3,
1973,29,STL,QB,17,12,12,3-8-1,178,320,55.6,2223,15,4.7,10,3.1,69,6.9,6.5,12.5,185.3,80,22,168,6.4,6.01,5.57,1,0,11,
1974*,30,STL,QB,17,14,14,10-4-0,200,388,51.5,2411,20,5.2,8,2.1,80,6.2,6.3,12.1,172.2,79.5,16,134,4,5.64,5.74,1,2,13,AP2 PB
1975*,31,STL,QB,17,14,14,11-3-0,182,345,52.8,2507,19,5.5,19,5.5,80,7.3,5.9,13.8,179.1,71.7,6,43,1.7,7.02,5.67,4,4,12,PB
1976*,32,STL,QB,17,14,14,10-4-0,218,388,56.2,2946,18,4.6,13,3.4,77,7.6,7,13.5,210.4,82,17,132,4.2,6.95,6.39,3,4,12,PB
1977*,33,STL,QB,17,14,14,7-7-0,186,355,52.4,2542,13,3.7,20,5.6,69,7.2,5.4,13.7,181.6,64.3,13,89,3.5,6.67,4.93,2,2,12,PB
1978,34,STL,QB,17,15,15,6-9-0,240,477,50.3,3121,16,3.4,18,3.8,74,6.5,5.5,13,208.1,66.7,20,166,4,5.95,4.96,0,1,7,
1979,35,STL,QB,17,14,13,3-10-0,194,378,51.3,2218,9,2.4,20,5.3,51,5.9,4,11.4,158.4,55.2,25,183,6.2,5.05,3.26,1,1,5,
1980,36,STL,QB,17,15,15,5-10-0,228,425,53.6,2946,16,3.8,20,4.7,69,6.9,5.6,12.9,196.4,68.6,39,292,8.4,5.72,4.47,0,0,8,
1981,37,STL,QB,17,10,9,3-6-0,134,241,55.6,1694,11,4.6,14,5.8,58,7,5.3,12.6,169.4,68.7,16,119,6.2,6.13,4.53,0,1,5,
1982,38,STL,qb,17,4,0,,19,33,57.6,199,1,3,0,0,22,6,6.6,10.5,49.8,85.3,0,0,0,6.03,6.64,0,1,1,
1983,39,STL,qb,17,5,3,1-2-0,50,91,54.9,592,4,4.4,8,8.8,39,6.5,3.4,11.8,118.4,53,13,99,12.5,4.74,2.05,1,1,2,
1984,40,WAS,qb,17,2,0,,3,7,42.9,26,0,0,0,0,13,3.7,3.7,8.7,13,53.3,0,0,0,3.71,3.71,,,0,
Career,,,,,201,180,87-88-5,2593,5076,51.1,34665,209,4.1,247,4.9,98,6.8,5.5,13.4,172.5,66.6,283,2307,5.3,6.04,4.74,20,23,131,
18 yrs,,STL,,,199,180,87-88-5,2590,5069,51.1,34639,209,4.1,247,4.9,98,6.8,5.5,13.4,174.1,66.6,283,2307,5.3,6.04,4.75,20,23,131,
1 yr,,WAS,,,2,0,,3,7,42.9,26,0,0,0,0,13,3.7,3.7,8.7,13,53.3,0,0,0,3.71,3.71,,,0,
