Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1986,26,BUF,QB,12,16,16,4-12-0,285,480,59.4,3593,22,4.6,17,3.5,,84,7.5,6.8,12.6,224.6,83.3,43,330,8.2,6.24,5.62,,,12,
1987*,27,BUF,QB,12,12,12,6-6-0,250,419,59.7,2798,19,4.5,11,2.6,,47,6.7,6.4,11.2,233.2,83.8,27,239,6.1,5.74,5.48,2,2,9,PB
1988*,28,BUF,QB,12,16,16,12-4-0,269,452,59.5,3380,15,3.3,17,3.8,,66,7.5,6.4,12.6,211.3,78.2,30,229,6.2,6.54,5.57,3,5,13,PB
1989,29,BUF,QB,12,13,13,6-7-0,228,391,58.3,3130,25,6.4,18,4.6,,78,8,7.2,13.7,240.8,86.2,30,216,7.1,6.92,6.19,2,2,12,
1990*,30,BUF,QB,12,14,14,12-2-0,219,346,63.3,2829,24,6.9,9,2.6,,71,8.2,8.4,12.9,202.1,101.2,20,158,5.5,7.3,7.5,1,1,14,AP MVP-5 AP OPoY-6 PB
1991*+,31,BUF,QB,12,15,15,13-2-0,304,474,64.1,3844,33,7,17,3.6,,77,8.1,7.9,12.6,256.3,97.6,31,227,6.1,7.16,6.95,3,4,17,AP MVP-2 AP OPoY-2 AP1 PB
1992*,32,BUF,QB,12,16,16,11-5-0,269,462,58.2,3457,23,5,19,4.1,,65,7.5,6.6,12.9,216.1,81.2,20,145,4.1,6.87,6.05,3,3,14,AP OPoY-6 AP2 PB
1993,33,BUF,QB,12,16,16,12-4-0,288,470,61.3,3382,18,3.8,18,3.8,,65,7.2,6.2,11.7,211.4,79.9,25,171,5.1,6.49,5.58,3,4,12,
1994,34,BUF,QB,12,14,14,7-7-0,285,448,63.6,3114,22,4.9,17,3.8,151,83,7,6.2,10.9,222.4,84.6,34,244,7.1,5.95,5.28,0,1,12,
1995,35,BUF,QB,12,15,15,10-5-0,255,458,55.7,3130,22,4.8,13,2.8,131,77,6.8,6.5,12.3,208.7,81.1,26,181,5.4,6.09,5.79,1,2,10,
1996,36,BUF,QB,12,13,13,8-5-0,222,379,58.6,2810,14,3.7,19,5,123,67,7.4,5.9,12.7,216.2,73.2,37,287,8.9,6.06,4.68,3,4,7,
Career,,,,,160,160,101-59-0,2874,4779,60.1,35467,237,5,175,3.7,405,84,7.4,6.8,12.3,221.7,84.4,323,2427,6.3,6.48,5.86,21,28,132,
