Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1960,23,CLE,RDE,80,12,7,,,,,,,0,1,0,0,2.5,,5,
1961,24,MIN,LDE,70,14,14,,,,,,,0,4,0,0,6,,5,
1962,25,MIN,RDE,70,14,14,,,,,,,0,2,0,0,9,,7,
1963,26,MIN,RDE,70,14,14,,,,,,,1,4,12,1,10.5,,7,
1964,27,MIN,RDE,70,14,14,,,,,,,0,2,0,0,11.5,,8,
1965,28,MIN,RDE,70,14,14,,,,,,,0,2,0,0,7.5,,6,
1966,29,MIN,RDE,70,14,14,,,,,,,,,,,7,,8,
1967,30,MIN,RDE,70,14,14,,,,,,,0,2,0,0,8,,9,
1968*,31,MIN,RDE,70,14,14,,,,,,,0,1,0,0,10,1,10,PB
1969*,32,MIN,RDE,70,14,14,1,30,0,30,,,0,2,0,0,14,,18,AP2 PB
1970,33,MIN,RDE,70,14,14,,,,,,,0,2,24,0,6.5,,12,
1971,34,MIN,RDE,70,14,14,,,,,,,0,1,0,0,8.5,,12,
1972,35,MIN,RDE,70,14,14,,,,,,,0,1,0,0,1,,7,
1973,36,MIN,RDE,70,14,14,,,,,,,1,1,7,0,7,,10,
1974,37,MIN,RDE,70,14,14,,,,,,,,,,,3,,7,
1975,38,MIN,RDE,70,14,14,,,,,,,1,2,0,0,7,,8,
1976,39,MIN,RDE,70,14,14,,,,,,,,,,,4,,8,
1977,40,MIN,RDE,70,14,14,,,,,,,,,,,2,,7,
1978,41,MIN,RDE,70,16,16,,,,,,,0,2,0,0,4,,7,
1979,42,MIN,RDE,70,16,16,,,,,,,0,1,7,0,1.5,,7,
Career,,,,,282,277,1,30,0,30,,,3,30,50,1,130.5,1,168,
19 yrs,,MIN,,,270,270,1,30,0,30,,,3,29,50,1,128,1,163,
1 yr,,CLE,,,12,7,,,,,,,0,1,0,0,2.5,,5,
