Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1960+,22,OAK,C,50,14,14,,,,,,,,,,,0,,13,AP1
1961*+,23,OAK,C,0,14,14,,,,,,,,,,,0,,10,AP1 PB
1962*+,24,OAK,C,0,14,14,,,,,,,,,,,0,,9,AP1 PB
1963*+,25,OAK,C,0,14,14,,,,,,,,,,,0,,13,AP1 PB
1964*+,26,OAK,C,0,14,14,,,,,,,,,,,0,,13,AP1 PB
1965*+,27,OAK,C,0,14,14,,,,,,,1,0,0,0,0,,11,AP1 PB
1966*,28,OAK,C,0,14,14,,,,,,,,,,,0,,10,AP2 PB
1967*+,29,OAK,C,0,14,14,,,,,,,,,,,0,,12,AP1 PB
1968*+,30,OAK,C,0,14,14,,,,,,,0,1,0,0,0,,13,AP1 PB
1969*+,31,OAK,C,0,14,14,,,,,,,,,,,0,,11,AP1 PB
1970*+,32,OAK,C,0,14,14,,,,,,,0,1,0,0,0,,12,AP1 PB
1971*,33,OAK,C,0,14,14,,,,,,,1,0,-7,0,0,,11,PB
1972*,34,OAK,C,0,14,14,,,,,,,,,,,0,,11,AP2 PB
1973,35,OAK,C,0,14,14,,,,,,,1,1,-15,0,0,,7,
1974,36,OAK,C,0,14,14,,,,,,,,,,,0,,7,
Career,,,,,210,210,,,,,,,3,3,-22,0,0,,163,
