Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1961,22,DTX,LT,77,14,13,,,,,,,,,,,0,,7,
1962*,23,DTX,LT,77,14,13,,,,,,,,,,,0,,11,PB
1963*,24,KAN,LT,77,14,14,,,,,,,,,,,0,,11,AP2 PB
1964*,25,KAN,LT,77,14,14,,,,,,,,,,,0,,12,AP2 PB
1965*+,26,KAN,LT,77,14,14,,,,,,,,,,,0,,12,AP1 PB
1966*+,27,KAN,LT,77,14,14,,,,,,,,,,,0,,14,AP1 PB
1967+,28,KAN,LT,77,14,14,,,,,,,0,1,3,0,0,,15,AP1
1968*+,29,KAN,LT,77,14,14,,,,,,,,,,,0,,14,AP1 PB
1969*+,30,KAN,LT,77,14,14,,,,,,,,,,,0,,12,AP1 PB
1970*+,31,KAN,LT,77,14,14,,,,,,,,,,,0,,13,AP1 PB
1971*,32,KAN,LT,77,14,14,,,,,,,0,1,0,0,0,,10,PB
1972,33,KAN,LT,77,14,14,,,,,,,,,,,0,,6,
1973,34,KAN,LT,77,12,12,,,,,,,,,,,0,,5,
1974,35,WAS,t,71,14,1,,,,,,,,,,,0,,2,
Career,,,,,194,179,,,,,,,0,2,3,0,0,,144,
13 yrs,,DTX-KAN,,,180,178,,,,,,,0,2,3,0,0,,142,
1 yr,,WAS,,,14,1,,,,,,,,,,,0,,2,
