Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1961,23,SFO,RCB,37,12,10,5,116,0,63,,,,,,,0,,7,
1962,24,SFO,FL,37,12,7,,,,,,,1,0,0,0,0,,8,
1963,25,SFO,FS,37,13,13,2,36,0,36,,,0,1,0,0,0,,5,
1964,26,SFO,LCB,37,14,14,3,65,0,43,,,,,,,0,,7,
1965,27,SFO,LCB,37,14,14,6,47,0,26,,,,,,,0,,10,AP2
1966,28,SFO,LCB,37,14,14,4,57,1,35,,,0,2,5,0,0,,11,AP2
1967,29,SFO,LCB,37,11,11,2,68,0,38,,,0,1,26,0,0,,5,
1968,30,SFO,LCB,37,13,13,1,25,0,25,,,,,,,0,,5,
1969*,31,SFO,LCB,37,14,14,5,18,0,18,,,,,,,0,,13,PB
1970*+,32,SFO,LCB,37,14,14,2,36,1,36,,,0,1,0,0,0,1,13,AP1 PB
1971*+,33,SFO,LCB,37,14,14,3,16,0,10,,,0,1,0,0,0,,15,AP1 PB
1972*+,34,SFO,LCB,37,14,14,4,18,0,15,,,,,,,0,,16,AP1 PB
1973,35,SFO,LCB,37,13,13,4,46,0,30,,,,,,,0,,7,
1974*,36,SFO,LCB,37,13,13,3,50,0,37,,,,,,,0,,9,PB
1975,37,SFO,LCB,37,14,14,2,0,0,0,,,0,1,0,0,0,,7,
1976,38,SFO,LCB,37,14,13,1,17,0,17,,,,,,,0,,8,
Career,,,,,213,205,47,615,2,63,,,1,7,31,0,0,1,146,
