Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1992,23,DAL,wr,82,7,0,,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,0,
1993,,Missed season - Injured (appendicitis/complications),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,26,JAX,wr,82,16,4,42,22,288,13.1,3,12,33,1.4,18,52.40%,6.9,,,,,,,,,22,13.1,288,3,2,3,
1996,27,JAX,WR,82,16,9,128,83,1244,15,7,59,62,5.2,77.8,64.80%,9.7,,,,,,,,,83,15,1244,7,1,11,
1997*,28,JAX,WR,82,16,16,152,82,1324,16.1,4,63,75,5.1,82.8,53.90%,8.7,,,,,,,,,82,16.1,1324,4,1,14,PB
1998*,29,JAX,WR,82,16,15,133,78,1182,15.2,8,46,72,4.9,73.9,58.60%,8.9,,,,,,,,,78,15.2,1182,8,2,13,AP2 PB
1999*,30,JAX,WR,82,16,16,173,116,1636,14.1,6,86,62,7.3,102.3,67.10%,9.5,,,,,,,,,116,14.1,1636,6,1,15,AP2 PB
2000*,31,JAX,WR,82,15,14,145,91,1213,13.3,8,46,65,6.1,80.9,62.80%,8.4,,,,,,,,,91,13.3,1213,8,1,12,PB
2001*,32,JAX,WR,82,16,16,176,112,1373,12.3,8,69,35,7,85.8,63.60%,7.8,1,-3,0,0,-3,-3,-0.2,0.1,113,12.1,1370,8,1,12,AP CPoY-2 PB
2002,33,JAX,WR,82,16,16,137,80,1027,12.8,7,53,47,5,64.2,58.40%,7.5,1,2,0,0,2,2,0.1,0.1,81,12.7,1029,7,0,11,
2003,34,JAX,WR,82,12,12,112,54,805,14.9,4,38,67,4.5,67.1,48.20%,7.2,,,,,,,,,54,14.9,805,4,1,7,
2004,35,JAX,WR,82,16,16,137,74,1172,15.8,6,52,65,4.6,73.3,54.00%,8.6,,,,,,,,,74,15.8,1172,6,2,9,
2005,36,JAX,WR,82,16,16,128,70,1023,14.6,6,55,45,4.4,63.9,54.70%,8,,,,,,,,,70,14.6,1023,6,0,11,
Career,,,,,178,150,1463,862,12287,14.3,67,579,75,4.8,69,58.90%,8.4,2,-1,0,1,2,-0.5,0,0,864,14.2,12286,67,12,118,
11 yrs,,JAX,,,171,150,1463,862,12287,14.3,67,579,75,5,71.9,58.90%,8.4,2,-1,0,1,2,-0.5,0,0,864,14.2,12286,67,12,118,
1 yr,,DAL,,,7,0,,0,0,,0,0,0,0,0,,,,,,,,,,,0,,0,0,,0,
