Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2011,22,HOU,LDE,99,16,16,0,0,0,0,4,0,0,2,2,0,5.5,56,49,7,13,19,,10,
2012*+,23,HOU,LDE,99,16,16,0,0,0,0,16,4,0,2,7,0,20.5,81,69,12,39,43,,19,AP DPoY-1 AP1 PB
2013*+,24,HOU,LDE,99,16,16,0,0,0,0,7,4,0,2,0,0,10.5,80,65,15,22,46,,17,AP DPoY-6 AP1 PB
2014*+,25,HOU,LDE,99,16,16,1,80,1,80,10,4,0,5,59,1,20.5,78,59,19,29,51,1,23,AP MVP-2 AP DPoY-1 AP1 PB
2015*+,26,HOU,RDE,99,16,16,0,0,0,0,8,3,0,1,0,0,17.5,76,57,19,29,50,,21,AP DPoY-1 AP1 PB
2016,27,HOU,de,99,3,3,,,,,,0,0,1,0,0,1.5,8,1,7,1,5,,2,
2017,28,HOU,LDE,99,5,5,0,0,0,0,2,,,,,,0,15,11,4,3,5,,2,
2018*+,29,HOU,LDE,99,16,16,0,0,0,0,4,7,0,0,0,0,16,61,47,14,18,25,,17,AP CPoY-2 AP1 PB
2019,30,HOU,LDE,99,8,8,0,0,0,0,3,1,0,2,0,0,4,24,15,9,4,21,,4,
2020,31,HOU,LDE,99,16,16,1,19,1,19,7,2,0,1,0,0,5,52,36,16,14,17,,7,
2021,32,ARI,rde,99,7,7,0,0,0,0,2,1,0,0,0,0,1,16,10,6,5,10,,3,
2022,33,ARI,DE,99,6,6,0,0,0,0,3,,,,,,2.5,11,7,4,4,4,,,
Career,,,,,141,141,2,99,2,80,66,26,0,16,68,1,104.5,558,426,132,181,296,1,125,
10 yrs,,HOU,,,128,128,2,99,2,80,61,25,0,16,68,1,101,531,409,122,172,282,1,122,
2 yrs,,ARI,,,13,13,0,0,0,0,5,1,0,0,0,0,3.5,27,17,10,9,14,,3,
