Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1969*,23,PIT,LDT,75,14,14,,,,,,,,,,,9.5,,7,AP DRoY-1 UPI RoY-2 PB
1970*,24,PIT,LDT,75,14,14,,,,,,,,,,,8,,9,PB
1971*,25,PIT,LDT,75,14,14,,,,,,,0,3,3,0,5.5,,10,PB
1972*+,26,PIT,LDT,75,14,14,,,,,,,0,1,0,0,11,,18,AP DPoY-1 AP1 PB
1973*+,27,PIT,LDT,75,14,13,,,,,,,0,2,0,0,4,,15,AP DPoY-3 AP1 PB
1974*+,28,PIT,LDT,75,14,14,1,26,0,26,,,1,4,7,0,9,,16,AP DPoY-1 AP1 PB
1975*,29,PIT,LDT,75,10,9,,,,,,,,,,,3,,10,AP DPoY-5 AP2 PB
1976*,30,PIT,LDT,75,14,14,,,,,,,,,,,6,,14,AP2 PB
1977+,31,PIT,LDT,75,13,13,,,,,,,0,1,0,0,4,,12,AP1
1978*,32,PIT,LDT,75,16,16,,,,,,,0,5,0,0,4.5,,12,PB
1979*,33,PIT,LDT,75,15,15,,,,,,,,,,,5,,9,AP DPoY-8 PB
1980,34,PIT,LDT,75,15,15,,,,,,,,,,,3.5,,7,
1981,35,PIT,ldt,75,14,7,,,,,,,,,,,4.5,,4,
Career,,,,,181,172,1,26,0,26,,,1,16,10,0,77.5,,143,
