Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1979,23,SFO,QB,16,16,1,0-1-0,13,23,56.5,96,1,4.3,0,0,,18,4.2,5,7.4,6,81.1,0,0,0,4.17,5.04,,,0,
1980,24,SFO,QB,16,15,7,2-5-0,176,273,64.5,1795,15,5.5,9,3.3,,71,6.6,6.2,10.2,119.7,87.8,15,100,5.2,5.89,5.52,1,1,6,
1981*,25,SFO,QB,16,16,16,13-3-0,311,488,63.7,3565,19,3.9,12,2.5,,78,7.3,7,11.5,222.8,88.4,26,193,5.1,6.56,6.25,2,2,12,AP MVP-2 AP OPoY-3 AP2 PB
1982,26,SFO,QB,16,9,9,3-6-0,213,346,61.6,2613,17,4.9,11,3.2,,55,7.6,7.1,12.3,290.3,88,20,166,5.5,6.69,6.26,2,2,16,
1983*,27,SFO,QB,16,16,16,10-6-0,332,515,64.5,3910,26,5,12,2.3,,77,7.6,7.6,11.8,244.4,94.6,33,224,6,6.73,6.69,2,1,17,AP MVP-5 AP OPoY-5 PB
1984*,28,SFO,QB,16,16,15,14-1-0,279,432,64.6,3630,28,6.5,10,2.3,,80,8.4,8.7,13,226.9,102.9,22,138,4.8,7.69,7.93,2,2,16,AP2 PB
1985*,29,SFO,QB,16,15,15,9-6-0,303,494,61.3,3653,27,5.5,13,2.6,,73,7.4,7.3,12.1,243.5,91.3,35,246,6.6,6.44,6.36,1,1,13,PB
1986,30,SFO,QB,16,8,8,6-2-0,191,307,62.2,2236,8,2.6,9,2.9,,48,7.3,6.5,11.7,279.5,80.7,12,95,3.8,6.71,5.94,1,1,7,AP MVP-6
1987*+,31,SFO,QB,16,13,11,10-1-0,266,398,66.8,3054,31,7.8,13,3.3,,57,7.7,7.8,11.5,234.9,102.1,22,158,5.2,6.9,6.98,3,3,16,AP MVP-3 AP OPoY-2 AP1 PB
1988,32,SFO,QB,16,14,13,8-5-0,238,397,59.9,2981,18,4.5,10,2.5,,96,7.5,7.3,12.5,212.9,87.9,34,223,7.9,6.4,6.19,2,2,13,
1989*+,33,SFO,QB,16,13,13,11-2-0,271,386,70.2,3521,26,6.7,8,2.1,,95,9.1,9.5,13,270.8,112.4,33,198,7.9,7.93,8.31,4,5,17,AP MVP-1 AP OPoY-1 AP1 PB
1990*+,34,SFO,QB,16,15,15,14-1-0,321,520,61.7,3944,26,5,16,3.1,,78,7.6,7.2,12.3,262.9,89,29,153,5.3,6.91,6.54,3,5,14,AP MVP-1 AP OPoY-3 AP1 PB
1991,,Missed season - Injured (elbow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,36,SFO,QB,16,1,0,,15,21,71.4,126,2,9.5,0,0,,17,6,7.9,8.4,126,118.4,1,8,4.5,5.36,7.18,,,1,
1993*,37,KAN,QB,19,11,11,8-3-0,181,298,60.7,2144,13,4.4,7,2.3,,50,7.2,7,11.8,194.9,87.4,12,61,3.9,6.72,6.54,1,1,9,PB
1994,38,KAN,QB,19,14,14,9-5-0,299,493,60.6,3283,16,3.2,9,1.8,168,57,6.7,6.5,11,234.5,83.6,19,132,3.7,6.15,5.99,2,2,9,
Career,,,,,192,164,117-47-0,3409,5391,63.2,40551,273,5.1,139,2.6,168,96,7.5,7.4,11.9,211.2,92.3,313,2095,5.5,6.74,6.6,26,28,166,
13 yrs,,SFO,,,167,139,100-39-0,2929,4600,63.7,35124,244,5.3,123,2.7,0,96,7.6,7.5,12,210.3,93.5,282,1902,5.8,6.8,6.67,23,25,148,
2 yrs,,KAN,,,25,25,17-8-0,480,791,60.7,5427,29,3.7,16,2,168,57,6.9,6.7,11.3,217.1,85,31,193,3.8,6.37,6.2,3,3,18,
