Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1965*,22,NYJ,QB,12,13,9,3-5-1,164,340,48.2,2220,18,5.3,15,4.4,62,6.5,5.6,13.5,170.8,68.7,0,0,0,6.53,5.6,,,9,UPI AFL RoY-1 PB
1966,23,NYJ,QB,12,14,13,5-6-2,232,471,49.3,3379,19,4,27,5.7,77,7.2,5.4,14.6,241.4,62.6,0,0,0,7.17,5.4,4,2,12,
1967*,24,NYJ,QB,12,14,14,8-5-1,258,491,52.5,4007,26,5.3,28,5.7,75,8.2,6.7,15.5,286.2,73.8,0,0,0,8.16,6.65,1,2,16,AP2 PB
1968*+,25,NYJ,QB,12,14,14,11-3-0,187,380,49.2,3147,15,3.9,17,4.5,87,8.3,7.1,16.8,224.8,72.1,0,0,0,8.28,7.06,3,3,15,AP1 PB
1969*,26,NYJ,QB,12,14,14,10-4-0,185,361,51.2,2734,19,5.3,17,4.7,60,7.6,6.5,14.8,195.3,74.3,13,117,3.5,7,5.97,2,3,14,AP2 PB
1970,27,NYJ,qb,12,5,5,1-4-0,90,179,50.3,1259,5,2.8,12,6.7,72,7,4.6,14,251.8,54.7,6,63,3.2,6.46,4.09,,,5,
1971,28,NYJ,qb,12,4,3,2-1-0,28,59,47.5,537,5,8.5,6,10.2,74,9.1,6.2,19.2,134.3,68.2,0,0,0,9.1,6.22,,,3,
1972*,29,NYJ,QB,12,13,13,7-6-0,162,324,50,2816,19,5.9,21,6.5,83,8.7,6.9,17.4,216.6,72.5,11,101,3.3,8.1,6.42,2,2,15,AP MVP-3 AP OPoY-7 AP2 PB
1973,30,NYJ,qb,12,6,5,2-3-0,68,133,51.1,966,5,3.8,6,4.5,63,7.3,6,14.2,161,68.7,10,97,7,6.08,4.89,,,3,
1974,31,NYJ,QB,12,14,14,7-7-0,191,361,52.9,2616,20,5.5,22,6.1,89,7.2,5.6,13.7,186.9,69.4,19,195,5,6.37,4.82,3,3,12,
1975,32,NYJ,QB,12,14,13,3-10-0,157,326,48.2,2286,15,4.6,28,8.6,91,7,4.1,14.6,163.3,51,27,253,7.6,5.76,3.04,,,9,
1976,33,NYJ,QB,12,11,8,1-7-0,114,230,49.6,1090,4,1.7,16,7,35,4.7,2,9.6,99.1,39.9,16,150,6.5,3.82,1.22,,,-1,
1977,34,RAM,qb,12,4,4,2-2-0,50,107,46.7,606,3,2.8,5,4.7,42,5.7,4.1,12.1,151.5,54.5,7,76,6.1,4.65,3.2,,,3,
Career,,,,,140,129,62-63-4,1886,3762,50.1,27663,173,4.6,220,5.8,91,7.4,5.6,14.7,197.6,65.5,109,1052,2.8,6.87,5.21,15,15,115,
12 yrs,,NYJ,,,136,125,60-61-4,1836,3655,50.2,27057,170,4.7,215,5.9,91,7.4,5.7,14.7,198.9,65.8,102,976,2.7,6.94,5.27,15,15,112,
1 yr,,RAM,,,4,4,2-2-0,50,107,46.7,606,3,2.8,5,4.7,42,5.7,4.1,12.1,151.5,54.5,7,76,6.1,4.65,3.2,,,3,
