Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2000,22,NYJ,de,94,6,0,,,,,,2,0,0,0,0,4.5,15,11,4,3,,,1,
2001*+,23,NYJ,RDE,94,16,15,,,,,,6,0,3,7,1,13,67,57,10,14,,,16,AP1 PB
2002*,24,NYJ,RDE,94,16,16,0,0,0,0,2,1,0,0,0,0,10,62,49,13,11,,,9,PB
2003,25,NYJ,rde,94,7,6,,,,,,1,0,0,0,0,6,32,24,8,8,,,3,
2004*,26,NYJ,RDE,94,12,12,0,0,0,0,2,3,0,1,0,0,9.5,49,35,14,13,,,11,PB
2005,27,NYJ,RDE,56,16,15,0,0,0,0,2,6,0,1,0,0,10.5,58,44,14,6,,,6,
2006,28,ATL,rde,55,8,7,0,0,0,0,1,4,0,0,0,0,4,24,21,3,3,5,,3,
2007,29,ATL,RDE,55,16,16,0,0,0,0,4,4,0,0,0,0,10,32,31,1,10,13,,7,
2008,30,ATL,RDE,55,16,16,0,0,0,0,1,4,0,0,0,0,16.5,38,37,1,20,30,,13,AP2
2009,31,ATL,LDE,55,16,15,0,0,0,0,1,1,0,0,0,0,5.5,35,30,5,6,14,,7,
2010*+,32,ATL,LDE,55,15,13,1,6,0,6,4,1,0,0,0,0,13,41,36,5,18,17,,16,AP1 PB
2011,33,ATL,RDE,55,15,15,0,0,0,0,2,4,0,1,0,0,9.5,35,25,10,10,17,,8,
2012,34,ATL,RDE,55,16,15,0,0,0,0,8,6,0,0,0,0,10,35,32,3,12,19,,8,
2013*,35,ARI,ROLB,55,16,13,0,0,0,0,3,4,0,0,0,0,11.5,37,31,6,14,14,1,9,PB
2014,36,ARI,de,55,1,1,,,,,,,,,,,0,,,,,,,0,
Career,,,,,192,175,1,6,0,6,30,47,0,6,7,1,133.5,560,463,97,148,129,1,117,
7 yrs,,ATL,,,102,97,1,6,0,6,21,24,0,1,0,0,68.5,240,212,28,79,115,,62,
6 yrs,,NYJ,,,73,64,0,0,0,0,6,19,0,5,7,1,53.5,283,220,63,55,,,46,
2 yrs,,ARI,,,17,14,0,0,0,0,3,4,0,0,0,0,11.5,37,31,6,14,14,1,9,
