Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1962,22,SDG,QB,21,14,10,1-9-0,107,260,41.2,1632,15,5.8,24,9.2,72,6.3,3.3,15.3,116.6,43.3,,,,,,,,4,
1963,23,SDG,qb,21,14,0,,28,64,43.8,502,6,9.4,6,9.4,69,7.8,5.5,17.9,35.9,63.4,0,0,0,7.84,5.5,1,1,2,
1964*,24,SDG,QB,21,14,8,6-2-0,147,274,53.6,2157,18,6.6,15,5.5,76,7.9,6.7,14.7,154.1,78.7,0,0,0,7.87,6.72,,,11,PB
1965*,25,SDG,QB,21,14,14,9-2-3,174,348,50,2798,20,5.7,21,6,85,8,6.5,16.1,199.9,71.3,0,0,0,8.04,6.47,2,2,11,AP2 PB
1966,26,SDG,QB,21,14,12,7-4-1,200,375,53.3,2846,23,6.1,14,3.7,78,7.6,7.1,14.2,203.3,83,0,0,0,7.59,7.14,1,1,13,
1967,27,SDG,QB,21,14,14,8-5-1,217,427,50.8,3365,24,5.6,22,5.2,72,7.9,6.7,15.5,240.4,74.5,0,0,0,7.88,6.69,3,3,14,
1968*,28,SDG,QB,21,14,14,9-5-0,208,440,47.3,3473,27,6.1,32,7.3,84,7.9,5.8,16.7,248.1,64.5,0,0,0,7.89,5.85,1,1,14,PB
1969*,29,SDG,QB,21,14,10,5-5-0,158,324,48.8,2253,10,3.1,11,3.4,76,7,6,14.3,160.9,67.8,18,190,5.3,6.03,5.17,1,2,10,PB
1970,30,SDG,QB,21,14,12,4-5-3,162,327,49.5,2388,22,6.7,15,4.6,67,7.3,6.6,14.7,170.6,77.1,42,327,11.4,5.59,4.95,1,0,13,
1971,31,SDG,QB,21,14,14,6-8-0,233,431,54.1,3075,21,4.9,25,5.8,77,7.1,5.5,13.2,219.6,68.9,16,145,3.6,6.55,4.98,2,3,13,AP MVP-9
1972*,32,SDG,QB,21,14,14,4-9-1,190,370,51.4,2449,15,4.1,26,7,61,6.6,4.3,12.9,174.9,56.7,19,187,4.9,5.81,3.58,2,1,10,PB
1973*+,33,RAM,QB,21,14,14,12-2-0,135,258,52.3,2008,22,8.5,11,4.3,69,7.8,7.6,14.9,143.4,88.8,17,126,6.2,6.84,6.64,,,15,AP MVP-2 AP1 PB
1974,34,2TM,,,14,11,6-5-0,142,299,47.5,1752,8,2.7,14,4.7,68,5.9,4.3,12.3,125.1,55.5,15,106,4.8,5.24,3.75,,,8,
,,GNB,qb,12,8,6,3-3-0,89,184,48.4,1072,3,1.6,8,4.3,68,5.8,4.2,12,134,54,9,70,4.7,5.19,3.64,,,4,
,,RAM,qb,21,6,5,3-2-0,53,115,46.1,680,5,4.3,6,5.2,38,5.9,4.4,12.8,113.3,57.9,6,36,5,5.32,3.92,,,4,
1975,35,GNB,QB,21,14,13,4-9-0,191,353,54.1,2095,6,1.7,21,5.9,54,5.9,3.6,11,149.6,52.8,35,284,9,4.67,2.54,1,1,6,
1976,36,HOU,qb,21,14,4,1-3-0,60,113,53.1,634,7,6.2,8,7.1,69,5.6,3.7,10.6,45.3,60.9,15,123,11.7,3.99,2.27,,,2,
1977,37,HOU,qb,21,14,2,0-2-0,11,24,45.8,76,0,0,3,12.5,18,3.2,-2.5,6.9,5.4,13.9,2,26,7.7,1.92,-3.27,,,0,
Career,,,,,224,166,82-75-9,2363,4687,50.4,33503,244,5.2,268,5.7,85,7.1,5.6,14.2,149.6,67.4,179,1514,3.7,6.57,5.1,15,15,146,
11 yrs,,SDG,,,154,122,59-54-9,1824,3640,50.1,26938,201,5.5,211,5.8,85,7.4,5.9,14.8,174.9,68.9,95,849,2.7,7.04,5.69,14,14,115,
2 yrs,,GNB,,,22,19,7-12-0,280,537,52.1,3167,9,1.7,29,5.4,68,5.9,3.8,11.3,144,53.2,44,354,7.6,4.84,2.91,1,1,10,
2 yrs,,HOU,,,28,6,1-5-0,71,137,51.8,710,7,5.1,11,8,69,5.2,2.6,10,25.4,50.4,17,149,11,3.64,1.34,,,2,
2 yrs,,RAM,,,20,19,15-4-0,188,373,50.4,2688,27,7.2,17,4.6,69,7.2,6.6,14.3,134.4,79.3,23,162,5.8,6.38,5.81,,,19,
