Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1973,22,NWE,LG,73,13,13,,,,,,,0,1,0,0,0,,7,
1974,23,NWE,LG,73,14,14,,,,,,,0,1,0,1,0,,9,
1975,24,NWE,LG,73,14,14,,,,,,,,,,,0,,6,
1976*+,25,NWE,LG,73,14,14,,,,,,,,,,,0,,15,AP1 PB
1977,26,NWE,LG,73,11,11,,,,,,,,,,,0,,10,AP2
1978*+,27,NWE,LG,73,16,16,,,,,,,0,2,0,0,0,,13,AP1 PB
1979*+,28,NWE,LG,73,16,16,,,,,,,0,1,0,0,0,,15,AP OPoY-7 AP1 PB
1980*+,29,NWE,LG,73,16,16,,,,,,,,,,,0,,17,AP1 PB
1981*+,30,NWE,LG,73,16,16,,,,,,,0,2,0,0,0,,14,AP1 PB
1982*,31,NWE,LG,73,8,8,,,,,,,,,,,0,,9,AP2 PB
1983*+,32,NWE,LG,73,16,16,,,,,,,0,3,0,0,0,,12,AP1 PB
1984*,33,NWE,LG,73,15,15,,,,,,,,,,,0,,12,AP2 PB
1985*+,34,NWE,LG,73,14,14,,,,,,,,,,,0,,10,AP1 PB
Career,,,,,183,183,,,,,,,0,10,0,1,0,,149,
