Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1990,23,MIN,de,93,16,0,,,,,,1,0,0,0,0,1,21,,,,,,1,
1991,24,MIN,lde,93,16,8,,,,,,2,0,0,0,0,9.5,58,,,,,,5,
1992,25,MIN,RDT,93,16,14,,,,,,,0,1,0,0,11.5,56,,,,,,8,
1993*+,26,MIN,RDT,93,16,16,,,,,,3,0,0,0,0,12.5,59,,,,,,16,AP1 PB
1994*+,27,MIN,RDT,93,16,16,,,,,,3,0,2,0,0,13.5,42,30,12,,,,16,AP1 PB
1995*+,28,MIN,RDT,93,16,16,,,,,,1,0,0,0,0,10.5,44,33,11,,,,12,AP1 PB
1996*+,29,MIN,RDT,93,16,16,,,,,,4,0,0,0,0,11.5,46,35,11,,,,17,AP DPoY-7 AP1 PB
1997*+,30,MIN,RDT,93,16,16,,,,,,2,0,2,5,0,15.5,58,47,11,,,,14,AP1 PB
1998*+,31,MIN,RDE,93,16,16,,,,,,3,0,1,0,0,10.5,41,27,14,,,,16,AP DPoY-2 AP1 PB
1999,32,MIN,LDE/rdt,93,16,16,1,1,0,1,2,4,0,3,0,0,10,35,27,8,10,,,8,
2000,33,MIN,LDE,93,16,16,0,0,0,0,2,2,0,0,0,0,8,26,25,1,8,,,6,
2001*,34,SEA,RDT,93,15,14,,,,,,4,0,1,0,1,11,38,28,10,7,,,10,PB
2002,35,SEA,RDT,93,12,12,0,0,0,0,2,,,,,,7,15,13,2,9,,,5,
2003,36,SEA,RDT,93,16,9,,,,,,0,0,1,0,0,5.5,17,12,5,6,,,5,
Career,,,,,219,185,1,1,0,1,6,29,0,11,5,1,137.5,556,277,85,40,,,139,
11 yrs,,MIN,,,176,150,1,1,0,1,4,25,0,9,5,0,114,486,224,68,18,,,119,
3 yrs,,SEA,,,43,35,0,0,0,0,2,4,0,2,0,1,23.5,70,53,17,22,,,20,
