Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1960,22,DTX,RHB,42,14,14,98,458,4,49,4.7,32.7,7,41,611,14.9,4,74,2.9,43.6,139,7.7,1069,8,8,12,
1961,23,DTX,RHB,42,14,13,52,200,2,45,3.8,14.3,3.7,35,601,17.2,5,71,2.5,42.9,87,9.2,801,7,1,8,
1962,24,DTX,FS,42,14,11,0,0,0,0,,0,0,1,16,16,0,16,0.1,1.1,1,16,16,0,0,6,
1963*,25,KAN,FS,42,14,12,0,0,0,0,,0,0,,,,,,,,0,,0,0,0,8,PB
1964*,26,KAN,FS,42,10,9,0,0,0,0,,0,0,,,,,,,,0,,0,0,0,5,PB
1965*+,27,KAN,FS,42,14,14,0,0,0,0,,0,0,,,,,,,,0,,0,0,0,11,AP1 PB
1966*+,28,KAN,FS,42,14,14,0,0,0,0,,0,0,,,,,,,,0,,0,0,0,10,AP1 PB
1967*+,29,KAN,FS,42,14,13,0,0,0,0,,0,0,,,,,,,,0,,0,0,1,14,AP1 PB
1968*+,30,KAN,FS,42,14,14,0,0,0,0,,0,0,,,,,,,,0,,0,0,0,15,AP1 PB
1969+,31,KAN,FS,42,14,14,0,0,0,0,,0,0,,,,,,,,0,,0,0,0,14,AP1
1970*+,32,KAN,FS,42,14,14,0,0,0,0,,0,0,,,,,,,,0,,0,0,0,11,AP1 PB
1971,33,KAN,FS,42,14,14,0,0,0,0,,0,0,,,,,,,,0,,0,0,0,6,
Career,,,,,164,156,150,658,6,49,4.4,4,0.9,77,1228,15.9,9,74,0.5,7.5,227,8.3,1886,15,10,120,
