Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1996,22,BAL,LG,75,16,16,,,,,,,,,,,0,,,,,,,10,AP ORoY-5
1997*+,23,BAL,LT,75,16,16,,,,,,,,,,,0,,,,,,,14,AP1 PB
1998*,24,BAL,LT,75,13,13,,,,,,,,,,,0,,,,,,,8,AP2 PB
1999*,25,BAL,LT,75,16,16,,,,,,0,0,2,2,0,0,,,,,,,11,AP2 PB
2000*+,26,BAL,LT,75,15,15,,,,,,0,0,2,0,0,0,,,,,,,15,AP1 PB
2001*,27,BAL,LT,75,16,16,,,,,,,,,,,0,,,,,,,11,AP2 PB
2002*+,28,BAL,LT,75,16,16,,,,,,0,0,1,0,0,0,,,,,,,12,AP1 PB
2003*+,29,BAL,LT,75,16,16,,,,,,0,0,1,0,0,0,,,,,,,12,AP1 PB
2004*,30,BAL,LT,75,12,12,,,,,,0,0,1,0,0,0,,,,,,,8,AP2 PB
2005*,31,BAL,LT,75,16,16,,,,,,0,0,2,0,0,0,,,,,,,8,PB
2006*,32,BAL,LT,75,14,14,,,,,,0,0,1,0,0,0,,,,,,,10,AP2 PB
2007*,33,BAL,LT,75,11,10,,,,,,,,,,,0,,,,,,,5,PB
Career,,,,,177,176,,,,,,0,0,10,2,0,0,,,,,,,124,
