Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2011,22,ATL,WR,11,13,13,95,54,959,17.8,8,36,80,4.2,73.8,56.80%,10.1,6,56,0,4,19,9.3,4.3,0.5,60,16.9,1015,8,1,10,
2012*,23,ATL,WR,11,16,15,128,79,1198,15.2,10,56,80,4.9,74.9,61.70%,9.4,6,30,0,3,18,5,1.9,0.4,85,14.4,1228,10,0,13,PB
2013,24,ATL,wr,11,5,5,59,41,580,14.1,2,25,81,8.2,116,69.50%,9.8,1,7,0,1,7,7,1.4,0.2,42,14,587,2,2,5,
2014*,25,ATL,WR,11,15,15,163,104,1593,15.3,6,76,79,6.9,106.2,63.80%,9.8,1,1,0,1,1,1,0.1,0.1,105,15.2,1594,6,2,14,PB
2015*+,26,ATL,WR,11,16,16,203,136,1871,13.8,8,93,70,8.5,116.9,67.00%,9.2,,,,,,,,,136,13.8,1871,8,3,16,AP OPoY-6 AP1 PB
2016*+,27,ATL,WR,11,14,14,129,83,1409,17,6,64,75,5.9,100.6,64.30%,10.9,,,,,,,,,83,17,1409,6,0,16,AP1 PB
2017*,28,ATL,WR,11,16,16,148,88,1444,16.4,3,67,53,5.5,90.3,59.50%,9.8,1,15,0,1,15,15,0.9,0.1,89,16.4,1459,3,0,14,AP2 PB
2018*,29,ATL,WR,11,16,16,170,113,1677,14.8,8,80,58,7.1,104.8,66.50%,9.9,2,12,0,1,11,6,0.8,0.1,115,14.7,1689,8,2,14,AP2 PB
2019*,30,ATL,WR,11,15,15,157,99,1394,14.1,6,77,54,6.6,92.9,63.10%,8.9,2,-3,0,0,1,-1.5,-0.2,0.1,101,13.8,1391,6,1,11,AP2 PB
2020,31,ATL,WR,11,9,9,68,51,771,15.1,3,36,44,5.7,85.7,75.00%,11.3,,,,,,,,,51,15.1,771,3,0,6,
2021,32,TEN,WR,2,10,10,48,31,434,14,1,19,51,3.1,43.4,64.60%,9,,,,,,,,,31,14,434,1,0,4,
2022,33,TAM,WR,6,2,1,7,4,76,19,0,3,48,2,38,57.10%,10.9,2,17,0,2,12,8.5,8.5,1,6,15.5,93,0,0,,
Career,,,,,147,145,1375,883,13406,15.2,61,632,81,6,91.2,64.20%,9.7,21,135,0,13,19,6.4,0.9,0.1,904,15,13541,61,11,123,
10 yrs,,ATL,,,135,134,1320,848,12896,15.2,60,610,81,6.3,95.5,64.20%,9.8,19,118,0,11,19,6.2,0.9,0.1,867,15,13014,60,11,119,
1 yr,,TAM,,,2,1,7,4,76,19,0,3,48,2,38,57.10%,10.9,2,17,0,2,12,8.5,8.5,1,6,15.5,93,0,0,,
1 yr,,TEN,,,10,10,48,31,434,14,1,19,51,3.1,43.4,64.60%,9,,,,,,,,,31,14,434,1,0,4,
