Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2002,22,CAR,LDE,90,12,12,1,21,0,21,6,5,0,0,0,0,12,36,29,7,11,,,8,AP DRoY-1
2003,23,CAR,LDE,90,16,16,0,0,0,0,3,3,0,0,0,0,7,46,39,7,10,,,9,
2004*+,24,CAR,LDE,90,16,16,2,143,1,97,9,4,0,1,60,1,11,65,53,12,9,,,15,AP DPoY-4 AP1 PB
2005*,25,CAR,LDE,90,16,16,0,0,0,0,7,2,0,1,10,0,10.5,50,38,12,13,,,13,PB
2006*+,26,CAR,LDE,90,16,16,0,0,0,0,6,3,0,2,0,0,13,58,49,9,18,17,,18,AP1 PB
2007,27,CAR,LDE,90,14,14,1,0,0,0,4,3,0,2,0,0,2.5,38,30,8,3,4,,7,
2008*,28,CAR,RDE,90,16,16,0,0,0,0,4,5,0,0,0,0,14.5,51,40,11,17,22,,13,AP2 PB
2009*,29,CAR,RDE,90,16,14,2,13,1,13,5,5,0,1,11,0,10.5,42,36,6,10,18,,15,AP2 PB
2010*+,30,CHI,RDE,90,16,16,2,1,0,1,9,3,0,0,0,0,8,54,43,11,11,18,,18,AP DPoY-4 AP1 PB
2011*,31,CHI,RDE,90,16,16,0,0,0,0,4,4,0,2,0,0,11,37,33,4,15,13,,12,PB
2012*,32,CHI,RDE,90,16,16,0,0,0,0,2,1,0,4,6,0,11.5,39,32,7,13,15,,17,AP2 PB
2013,33,CHI,RDE,90,16,16,1,14,0,14,3,2,0,1,42,1,7,45,31,14,8,6,,6,
2014,34,GNB,LOLB,56,16,16,2,101,2,52,11,4,0,3,2,0,7,43,29,14,5,17,,9,
2015*,35,GNB,LOLB,56,16,16,,,,,,2,0,0,0,0,10.5,37,25,12,9,16,,12,PB
2016,36,GNB,LOLB,56,16,11,0,0,0,0,3,2,0,1,0,0,7.5,23,15,8,7,12,,5,
2017,37,CAR,LDE,90,16,5,,,,,,2,0,2,0,0,11,33,21,12,10,17,,4,
2018,38,CAR,RDE,90,16,8,0,0,0,0,6,2,0,1,0,0,5,22,14,8,6,11,,4,
Career,,,,,266,240,11,293,4,97,82,52,0,21,131,2,159.5,719,557,162,175,186,,185,
10 yrs,,CAR,,,154,133,6,177,2,97,50,34,0,10,81,1,97,441,349,92,107,89,,106,
4 yrs,,CHI,,,64,64,3,15,0,14,18,10,0,7,48,1,37.5,175,139,36,47,52,,53,
3 yrs,,GNB,,,48,43,2,101,2,52,14,8,0,4,2,0,25,103,69,34,21,45,,26,
