Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1990,21,SDG,RILB,55,16,15,,,,,,,,,,,1,85,,,,,,7,AP DRoY-3
1991*,22,SDG,RILB,55,16,16,,,,,,,,,,,7,129,,,,,,9,PB
1992*+,23,SDG,RLB,55,15,15,2,51,0,29,,1,0,1,10,0,4.5,102,,,,,,17,AP DPoY-2 AP1 PB
1993*+,24,SDG,RLB,55,16,16,2,58,0,42,,1,0,1,21,0,0,129,,,,,,16,AP1 PB
1994*+,25,SDG,RLB,55,16,16,,,,,,1,0,3,0,0,5.5,155,124,31,,,,17,AP DPoY-5 AP1 PB
1995*,26,SDG,RLB,55,16,16,2,5,0,3,,1,0,3,30,1,2,130,111,19,,,,15,AP2 PB
1996*+,27,SDG,RLB,55,15,15,2,18,0,10,,1,0,3,0,0,7,138,110,28,,,,15,AP1 PB
1997*,28,SDG,RLB,55,15,15,2,33,0,26,,1,1,2,5,0,7,97,84,13,,,,12,AP2 PB
1998*+,29,SDG,RLB,55,16,16,,,,,,1,0,2,0,0,3.5,115,92,23,,,,17,AP DPoY-6 AP1 PB
1999*,30,SDG,RLB,55,14,14,1,16,0,16,9,1,0,1,0,0,3.5,98,74,24,13,,,12,AP DPoY-7 AP2 PB
2000*+,31,SDG,RLB,55,16,16,2,2,0,2,11,1,0,0,0,0,3.5,123,103,20,15,,,13,AP1 PB
2001*,32,SDG,RLB,55,16,16,1,2,0,2,6,1,0,0,0,0,1,95,84,11,9,,,10,PB
2002*,33,SDG,RLB,55,13,13,1,25,0,25,7,1,0,0,0,0,1.5,84,60,24,11,,,8,PB
2003,34,MIA,LLB,55,15,15,0,0,0,0,3,,,,,,3,96,66,30,12,,,8,
2004,35,MIA,LLB,55,8,8,0,0,0,0,1,0,0,1,0,0,1,57,31,26,5,,,5,
2005,36,MIA,LLB,55,7,5,0,0,0,0,1,,,,,,1,36,18,18,1,,,2,
2006,37,NWE,LILB,55,11,10,0,0,0,0,1,,,,,,1,69,39,30,5,4,,6,
2007,38,NWE,LB,55,16,4,3,28,0,23,4,,,,,,3.5,73,57,16,9,6,,4,
2008,39,NWE,LB,55,4,2,,,,,,,,,,,0,22,15,7,0,0,,1,
2009,40,NWE,LB,55,7,0,,,,,,0,0,1,0,0,0,14,9,5,0,1,,1,
Career,,,,,268,243,18,238,0,42,43,11,1,18,66,1,56.5,1847,1077,325,80,11,,195,
13 yrs,,SDG,,,200,199,15,210,0,42,33,11,1,16,66,1,47,1480,842,193,48,,,168,
4 yrs,,NWE,,,38,16,3,28,0,23,5,0,0,1,0,0,4.5,178,120,58,14,11,,12,
3 yrs,,MIA,,,30,28,0,0,0,0,5,0,0,1,0,0,5,189,115,74,18,,,15,
