Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2001,22,CIN,RDE,90,15,11,2,28,0,21,5,,,,,,8.5,54,41,13,11,,,7,
2002,23,CIN,RDE,90,16,16,0,0,0,0,3,2,0,0,0,0,6.5,61,48,13,9,,,6,
2003,24,CIN,RDE,90,16,16,0,0,0,0,3,,,,,,5,60,41,19,7,,,6,
2004,25,CIN,RDE,90,16,16,0,0,0,0,2,2,0,2,0,0,8,71,42,29,7,,,9,
2005,26,CIN,LDE,90,16,16,0,0,0,0,2,1,0,1,0,0,6,66,45,21,10,,,7,
2006,27,CIN,RDE,90,16,16,0,0,0,0,3,1,0,2,0,0,7.5,80,49,31,8,19,,8,
2007,28,CIN,RDE,90,16,16,0,0,0,0,3,,,,,,2,78,49,29,3,9,,7,
2008,29,SFO,RDE,94,16,16,1,0,0,0,3,1,0,0,0,0,7,73,50,23,10,17,,8,
2009*,30,SFO,RDE,94,16,16,0,0,0,0,1,2,0,2,0,0,6,55,41,14,11,15,,13,PB
2010*,31,SFO,RDE,94,16,16,0,0,0,0,1,1,0,0,0,0,8.5,70,57,13,12,17,,11,PB
2011*+,32,SFO,RDE,94,16,16,0,0,0,0,2,3,0,1,0,0,7.5,58,45,13,6,20,,19,AP DPoY-3 AP1 PB
2012*,33,SFO,RDE,94,14,14,0,0,0,0,2,0,0,1,0,0,3,66,47,19,9,10,,13,AP2 PB
2013*,34,SFO,RDE,94,16,16,,,,,,1,0,0,0,0,6.5,49,32,17,9,16,,14,AP2 PB
2014,35,SFO,RDE,94,16,16,,,,,,2,0,1,0,0,5,43,28,15,7,14,,8,
Career,,,,,221,217,3,28,0,21,30,16,0,10,0,0,87,884,615,269,119,137,,136,
7 yrs,,CIN,,,111,107,2,28,0,21,21,6,0,5,0,0,43.5,470,315,155,55,28,,50,
7 yrs,,SFO,,,110,110,1,0,0,0,9,10,0,5,0,0,43.5,414,300,114,64,109,,86,
