Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1983,23,DEN,de,77,16,0,,,,,,,,,,,2,24,,,,1,
1984,24,DEN,lb,77,16,1,2,105,0,63,,,0,1,0,0,7,41,,,,4,
1985*+,25,DEN,LILB,77,16,9,,,,,,5,0,1,0,0,13,65,,,,13,AP1 PB
1986*+,26,DEN,LILB,77,16,16,,,,,,1,0,1,0,0,9.5,127,,,,14,AP1 PB
1987*,27,DEN,LILB,77,12,12,3,23,0,16,,2,0,1,0,0,7,97,,,,14,AP2 PB
1988,28,DEN,LILB,77,9,9,,,,,,,,,,,1,102,,,,4,
1989*+,29,DEN,LILB,77,15,15,,,,,,2,0,4,23,1,7.5,143,,,,20,AP1 PB
1990,30,DEN,LILB,77,16,16,,,,,,,0,2,24,1,5,116,,,1,7,
1991*,31,DEN,RILB,77,16,16,,,,,,1,0,0,0,0,9,130,,,,13,PB
1992,32,DEN,RILB,77,16,16,,,,,,2,0,0,0,0,7.5,116,,,,7,
1993*,33,DEN,LILB,77,16,16,,,,,,1,0,2,0,0,9,99,,,,11,PB
1994,34,DEN,MLB,77,16,15,,,,,,2,0,2,0,0,1.5,58,44,14,,6,
Career,,,,,180,141,5,128,0,63,,16,0,14,47,2,79,1118,44,14,1,114,
