Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1971,22,CIN,QB,14,11,4,0-4-0,72,131,55,777,5,3.8,4,3.1,44,5.9,5.3,10.8,70.6,72.6,23,159,14.9,4.01,3.49,,,4,
1972,23,CIN,QB,14,13,13,7-6-0,171,301,56.8,1918,7,2.3,7,2.3,65,6.4,5.8,11.2,147.5,74,18,155,5.6,5.53,4.98,2,2,9,
1973,24,CIN,QB,14,14,14,10-4-0,179,329,54.4,2428,18,5.5,12,3.6,78,7.4,6.8,13.6,173.4,81.2,24,163,6.8,6.42,5.91,0,2,14,
1974,25,CIN,QB,14,13,13,7-6-0,213,328,64.9,2667,18,5.5,10,3,77,8.1,7.9,12.5,205.2,95.7,36,292,9.9,6.52,6.28,,,16,
1975*,26,CIN,QB,14,13,13,10-3-0,228,377,60.5,3169,21,5.6,11,2.9,55,8.4,8.2,13.9,243.8,93.9,32,247,7.8,7.14,6.96,1,2,16,AP2 PB
1976*,27,CIN,QB,14,14,14,10-4-0,179,338,53,2367,19,5.6,14,4.1,85,7,6.3,13.2,169.1,76.9,34,235,9.1,5.73,5.06,3,3,13,PB
1977,28,CIN,QB,14,14,13,7-6-0,166,323,51.4,2145,11,3.4,11,3.4,94,6.6,5.8,12.9,153.2,69.7,28,197,8,5.55,4.77,1,2,11,
1978,29,CIN,QB,14,12,12,4-8-0,173,319,54.2,2219,10,3.1,22,6.9,57,7,4.5,12.8,184.9,58,30,237,8.6,5.68,3.42,1,1,6,
1979,30,CIN,QB,14,15,15,4-11-0,189,339,55.8,2340,16,4.7,10,2.9,73,6.9,6.5,12.4,156,80.7,46,324,11.9,5.24,4.9,,,11,
1980,31,CIN,QB,14,13,12,5-7-0,166,275,60.4,1778,6,2.2,13,4.7,67,6.5,4.8,10.7,136.8,66.9,24,174,8,5.36,3.81,,,5,
1981*+,32,CIN,QB,14,16,16,12-4-0,300,479,62.6,3754,29,6.1,10,2.1,74,7.8,8.1,12.5,234.6,98.4,25,140,5,7.17,7.43,2,2,18,AP MVP-1 AP OPoY-1 AP1 PB
1982*,33,CIN,QB,14,9,9,7-2-0,218,309,70.6,2495,12,3.9,9,2.9,56,8.1,7.5,11.4,277.2,95.3,26,154,7.8,6.99,6.5,,,19,PB
1983,34,CIN,QB,14,13,13,5-8-0,198,297,66.7,2333,12,4,13,4.4,80,7.9,6.7,11.8,179.5,85.6,25,187,7.8,6.66,5.59,,,9,
1984,35,CIN,QB,14,11,9,3-6-0,175,275,63.6,2107,10,3.6,12,4.4,80,7.7,6.4,12,191.5,81,24,191,8,6.41,5.27,,,7,
1985,36,CIN,QB,14,3,2,0-2-0,16,32,50,170,2,6.3,0,0,44,5.3,6.6,10.6,56.7,86.7,2,16,5.9,4.53,5.71,,,1,
1986,37,CIN,QB,14,8,0,,11,23,47.8,171,1,4.3,2,8.7,43,7.4,4.4,15.5,21.4,51.2,1,4,4.2,6.96,4.04,,,1,
Career,,,,,192,172,91-81-0,2654,4475,59.3,32838,197,4.4,160,3.6,94,7.3,6.6,12.4,171,81.9,398,2875,8.2,6.15,5.48,10,14,160,
