Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1967,23,HOU,SS,29,14,9,4,151,2,78,,,0,1,0,0,0,,5,
1968*,24,HOU,SS,29,14,14,5,160,2,66,,,0,1,0,0,0,,9,PB
1969*,25,HOU,SS,29,14,14,4,87,1,51,,,1,3,7,0,0,,11,AP2 PB
1970*,26,HOU,SS,29,14,14,3,32,0,9,,,,,,,0,,7,PB
1971*,27,HOU,SS,29,14,14,9,220,4,48,,,2,2,71,1,0,,10,PB
1972*,28,HOU,SS,29,14,14,,,,,,,2,4,24,0,0,,7,PB
1973*,29,WAS,SS,27,14,14,6,32,0,32,,,0,5,8,0,0,,12,PB
1974*,30,WAS,SS,27,14,14,2,40,0,37,,,1,0,0,0,0,,10,PB
1975*+,31,WAS,SS,27,14,14,4,33,0,19,,,0,2,6,0,0,,14,AP1 PB
1976*,32,WAS,SS,27,14,14,4,25,0,12,,,1,1,0,0,0,,10,PB
1977*,33,WAS,SS,27,14,14,5,69,0,31,,,3,2,0,0,0,,10,PB
1978*+,34,WAS,SS,27,16,16,2,29,0,29,,,,,,,0,,13,AP1 PB
1979*,35,WAS,SS,27,13,13,1,20,0,20,,,,,,,2,,8,AP2 PB
1980,36,WAS,ss,27,13,5,,,,,,,,,,,2,,3,
Career,,,,,196,183,49,898,9,78,,,10,21,116,1,4,,129,
8 yrs,,WAS,,,112,104,24,248,0,37,,,5,10,14,0,4,,80,
6 yrs,,HOU,,,84,79,25,650,9,78,,,5,11,102,1,0,,49,
