Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1969,22,CIN,RCB,13,14,9,4,66,0,66,,,1,2,0,0,0,,6,
1970,23,CIN,RCB,13,14,14,4,17,0,14,,,0,2,9,0,0,,9,
1971,24,CIN,RCB,13,13,13,5,22,0,21,,,0,2,0,0,0,,7,
1972,25,CIN,RCB,13,12,12,3,0,0,0,,,,,,,0,,7,
1973,26,CIN,RCB,13,14,14,2,2,0,5,,,,,,,1,,8,
1974,27,CIN,RCB,13,14,14,5,33,0,19,,,1,0,0,0,0,,7,
1975,28,CIN,RCB,13,14,14,6,76,1,30,,,0,2,56,0,0,,15,AP2
1976,29,CIN,RCB,13,14,14,9,141,1,53,,,1,2,0,0,0,,15,AP2
1977,30,CIN,RCB,13,14,14,2,14,0,14,,,0,1,0,0,0,,7,
1978,31,CIN,RCB,13,16,16,3,33,0,17,,,0,1,0,0,0,,8,
1979,32,CIN,RCB,13,13,13,1,0,0,0,,,0,3,31,0,0,,4,
1980,33,CIN,RCB,13,16,16,3,9,0,9,,,0,1,0,0,0,,8,
1981,34,CIN,RCB,13,16,16,5,6,0,6,,,0,1,0,0,0,,9,
1982,35,CIN,RCB,13,9,9,5,88,1,56,,,,,,,0,,7,
1983+,36,CIN,RCB,13,14,14,8,89,2,42,,,0,1,0,0,0,,16,AP1
Career,,,,,207,202,65,596,5,66,,,3,18,96,0,1,,133,
