Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1970,25,OAK,qb,12,3,0,,2,7,28.6,52,0,0,1,14.3,33,7.4,1,26,17.3,18.5,0,0,0,7.43,1,,,0,
1971,26,OAK,qb,12,14,1,1-0-0,24,48,50,268,1,2.1,4,8.3,23,5.6,2.3,11.2,19.1,39.2,4,37,7.7,4.44,1.37,,,2,
1972,27,OAK,qb,12,14,1,0-1-0,44,74,59.5,524,4,5.4,3,4.1,22,7.1,6.3,11.9,37.4,82.3,8,75,9.8,5.48,4.8,0,1,3,
1973*,28,OAK,QB,12,14,11,8-2-1,163,260,62.7,1997,14,5.4,10,3.8,80,7.7,7,12.3,142.6,88.3,34,261,11.6,5.9,5.33,1,3,10,PB
1974*+,29,OAK,QB,12,14,13,11-2-0,178,310,57.4,2469,26,8.4,12,3.9,67,8,7.9,13.9,176.4,94.9,18,141,5.5,7.1,7.04,2,2,15,AP MVP-1 AP OPoY-1 AP1 PB
1975,30,OAK,QB,12,14,13,10-3-0,171,293,58.4,2296,16,5.5,24,8.2,53,7.8,5.2,13.4,164,67.4,19,202,6.1,6.71,4.28,1,2,10,
1976*,31,OAK,QB,12,12,12,11-1-0,194,291,66.7,2737,27,9.3,17,5.8,88,9.4,8.6,14.1,228.1,103.4,19,203,6.1,8.17,7.45,3,4,15,AP MVP-3 AP OPoY-2 AP2 PB
1977*,32,OAK,QB,12,13,13,10-3-0,169,294,57.5,2176,20,6.8,20,6.8,44,7.4,5.7,12.9,167.4,75.2,16,141,5.2,6.56,4.95,1,1,13,PB
1978,33,OAK,QB,12,16,16,9-7-0,237,406,58.4,2944,16,3.9,30,7.4,49,7.3,4.7,12.4,184,63.3,37,347,8.4,5.86,3.54,3,3,10,
1979,34,OAK,QB,12,16,16,9-7-0,304,498,61,3615,26,5.2,22,4.4,66,7.3,6.3,11.9,225.9,82.2,34,284,6.4,6.26,5.38,1,1,14,AP MVP-8
1980,35,HOU,QB,12,16,16,11-5-0,293,457,64.1,3202,13,2.8,28,6.1,79,7,4.8,10.9,200.1,68.7,27,264,5.6,6.07,4,2,2,9,
1981,36,HOU,QB,12,13,12,5-7-0,165,285,57.9,1988,14,4.9,18,6.3,71,7,5.1,12,152.9,69.5,29,254,9.2,5.52,3.83,0,0,5,
1982,37,NOR,QB,16,8,8,4-4-0,117,189,61.9,1343,6,3.2,10,5.3,48,7.1,5.4,11.5,167.9,71.8,13,106,6.4,6.12,4.49,,,7,
1983,38,NOR,QB,16,14,14,7-7-0,176,311,56.6,1988,9,2.9,18,5.8,48,6.4,4.4,11.3,142,61.4,18,159,5.5,5.56,3.64,2,4,4,
1984,39,NOR,qb,16,3,0,,33,70,47.1,339,2,2.9,5,7.1,29,4.8,2.2,10.3,113,41.3,5,40,6.7,3.99,1.52,,,1,
Career,,,,,184,146,96-49-1,2270,3793,59.8,27938,194,5.1,222,5.9,88,7.4,5.8,12.3,151.8,75.3,281,2514,6.9,6.24,4.74,16,23,118,
10 yrs,,OAK,,,130,96,69-26-1,1486,2481,59.9,19078,150,6,143,5.8,88,7.7,6.3,12.8,146.8,80.2,189,1691,7.1,6.51,5.23,12,17,92,
3 yrs,,NOR,,,25,22,11-11-0,326,570,57.2,3670,17,3,33,5.8,48,6.4,4.4,11.3,146.8,62.4,36,305,5.9,5.55,3.66,2,4,12,
2 yrs,,HOU,,,29,28,16-12-0,458,742,61.7,5190,27,3.6,46,6.2,79,7,4.9,11.3,179,69,56,518,7,5.85,3.94,2,2,14,
