Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1985,23,RAM,lb,91,15,0,,,,,,,,,,,0,15,,,,,,1,
1986,24,RAM,lb,91,16,0,,,,,,,0,1,13,0,7,33,,,,,,2,
1987,25,RAM,lb,91,9,0,1,25,1,25,,,,,,,6.5,14,,,,,,2,
1988,26,RAM,LOLB,91,16,14,1,10,0,10,,2,0,0,0,0,16.5,51,,,,,1,9,
1989*,27,RAM,LOLB,91,16,16,,,,,,3,0,2,0,0,16.5,64,,,,,,12,AP2 PB
1990,28,RAM,LOLB,91,15,15,,,,,,4,0,4,0,0,13,61,,,,,,7,
1991,29,RAM,RDE/lde,91,16,16,,,,,,1,0,0,0,0,3,50,,,,,1,5,
1992,30,RAM,LLB,91,16,16,,,,,,3,0,4,2,0,10,87,,,,,1,7,
1993,31,PIT,LOLB,91,16,16,,,,,,3,0,3,5,0,12.5,67,,,,,,11,
1994*+,32,PIT,LOLB,91,16,16,,,,,,1,0,3,0,0,14,69,53,16,,,,17,AP DPoY-6 AP1 PB
1995*,33,PIT,LOLB,91,16,16,1,0,0,0,,2,0,0,0,0,9,48,34,14,,,,9,PB
1996*+,34,CAR,LOLB,91,16,16,,,,,,2,0,3,66,1,14.5,51,37,14,,,,18,AP DPoY-2 AP1 PB
1997,35,SFO,lb,91,14,4,,,,,,1,0,2,40,1,10.5,26,18,8,,,,4,
1998*,36,CAR,LOLB,91,15,15,2,18,0,18,,0,0,1,2,0,15,53,50,3,,,,8,PB
1999,37,CAR,LLB,91,16,16,0,0,0,0,1,1,0,3,8,0,12,45,35,10,18,,,7,
Career,,,,,228,176,5,53,1,25,1,23,0,26,136,2,160,734,227,65,18,,3,119,
8 yrs,,RAM,,,119,77,2,35,1,25,,13,0,11,15,0,72.5,375,,0,,,3,45,
3 yrs,,CAR,,,47,47,2,18,0,18,1,3,0,7,76,1,41.5,149,122,27,18,,,33,
3 yrs,,PIT,,,48,48,1,0,0,0,,6,0,6,5,0,35.5,184,87,30,,,,37,
1 yr,,SFO,,,14,4,,,,,,1,0,2,40,1,10.5,26,18,8,,,,4,
