Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1994,23,SEA,RG,52,14,11,,,,,,0,0,1,0,0,0,,,,,,,5,
1995,24,SEA,RG,52,16,16,,,,,,,,,,,0,,,,,,,8,
1996,25,SEA,C,52,16,16,,,,,,0,0,2,0,0,0,,,,,,,8,
1997,26,SEA,C,52,16,16,,,,,,0,0,2,0,0,0,,,,,,,8,
1998,27,NYJ,C,68,16,16,,,,,,,,,,,0,,,,,,,14,AP2
1999*+,28,NYJ,C,68,16,16,,,,,,,,,,,0,,,,,,,13,AP1 PB
2000*,29,NYJ,C,68,16,16,,,,,,,,,,,0,,,,,,,10,AP2 PB
2001*+,30,NYJ,C,68,16,16,,,,,,0,1,0,-5,0,0,,,,,,,14,AP1 PB
2002*,31,NYJ,C,68,16,16,,,,,,0,0,1,0,0,0,,,,,,,14,AP2 PB
2003*,32,NYJ,C,68,16,16,,,,,,0,2,0,-2,0,0,,,,,,,11,PB
2004*,33,NYJ,C,68,16,16,,,,,,,,,,,0,,,,,,,12,AP2 PB
2005,34,NYJ,c,68,6,6,,,,,,,,,,,0,,,,,,,2,
2006,35,TEN,C,68,16,16,,,,,,0,1,0,-11,0,0,,,,,,,7,
2007,36,TEN,C,68,14,14,,,,,,0,2,0,-4,0,0,,,,,,,6,
2008*+,37,TEN,C,68,15,15,,,,,,0,1,1,-1,0,0,,,,,,,12,AP1 PB
2009*,38,TEN,C,68,16,16,,,,,,,,,,,0,,,,,,,9,PB
Career,,,,,241,238,,,,,,0,7,7,-23,0,0,,,,,,,153,
8 yrs,,NYJ,,,118,118,,,,,,0,3,1,-7,0,0,,,,,,,90,
4 yrs,,SEA,,,62,59,,,,,,0,0,5,0,0,0,,,,,,,29,
4 yrs,,TEN,,,61,61,,,,,,0,4,1,-16,0,0,,,,,,,34,
