Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2003,23,MIN,LDE,93,16,16,1,3,0,3,4,1,0,1,0,0,10.5,51,36,15,15,,,7,AP DRoY-4
2004*+,24,MIN,RDT,93,16,16,1,7,0,7,8,2,0,3,77,1,11.5,70,52,18,13,,,12,AP1 PB
2005,25,MIN,RDT,93,14,14,0,0,0,0,7,0,0,1,6,0,4,42,31,11,6,,,6,
2006*+,26,MIN,RDT,93,16,16,0,0,0,0,6,0,0,3,0,1,5,36,28,8,11,12,,18,AP1 PB
2007*+,27,MIN,RDT,93,16,16,2,72,2,54,8,1,0,1,15,0,3,38,30,8,7,9,,16,AP1 PB
2008*+,28,MIN,RDT,93,16,16,0,0,0,0,5,1,0,0,0,0,8.5,62,47,15,15,18,,18,AP1 PB
2009*+,29,MIN,RDT,93,16,16,0,0,0,0,7,1,0,1,0,0,6,30,22,8,11,14,,15,AP1 PB
2010*,30,MIN,RDT,93,16,16,0,0,0,0,10,1,0,0,0,0,1,39,27,12,8,7,,10,PB
2011,31,MIN,RDT,93,14,14,0,0,0,0,2,1,0,0,0,0,5,38,25,13,9,9,,5,
2012,32,MIN,RDT,93,16,16,0,0,0,0,7,0,0,2,0,0,2,30,19,11,5,7,,7,
2013,33,MIN,RDT,93,15,15,1,0,0,0,4,0,0,1,0,0,3.5,29,17,12,4,8,,6,
2014,34,SEA,rdt,94,16,8,0,0,0,0,2,,,,,,3,31,18,13,8,4,,5,
2015,35,NOR,RDT,93,16,14,0,0,0,0,3,2,,,,,0,32,18,14,1,2,,4,
Career,,,,,203,193,5,82,2,54,73,10,0,13,98,2,63,528,370,158,113,90,,129,
11 yrs,,MIN,,,171,171,5,82,2,54,68,8,0,13,98,2,60,465,334,131,104,84,,120,
1 yr,,NOR,,,16,14,0,0,0,0,3,2,,,,,0,32,18,14,1,2,,4,
1 yr,,SEA,,,16,8,0,0,0,0,2,,,,,,3,31,18,13,8,4,,5,
