Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1998,27,STL,qb,10,1,0,,4,11,36.4,39,0,0,0,0,2,21,3.5,3.5,9.8,39,47.2,,0,0,0,3.55,3.55,,,0,
1999*+,28,STL,QB,13,16,16,13-3-0,325,499,65.1,4353,41,8.2,13,2.6,197,75,8.7,9.2,13.4,272.1,109.2,,29,201,5.5,7.86,8.31,,,19,AP MVP-1 AP OPoY-2 AP1 PB
2000*,29,STL,QB,13,11,11,8-3-0,235,347,67.7,3429,21,6.1,18,5.2,153,85,9.9,8.8,14.6,311.7,98.3,,20,115,5.4,9.03,7.97,1,2,15,PB
2001*+,30,STL,QB,13,16,16,14-2-0,375,546,68.7,4830,36,6.6,22,4,233,65,8.8,8.4,12.9,301.9,101.4,,38,233,6.5,7.87,7.41,1,2,20,AP MVP-1 AP OPoY-2 AP1 PB
2002,31,STL,qb,13,7,6,0-6-0,144,220,65.5,1431,3,1.4,11,5,68,43,6.5,4.5,9.9,204.4,67.4,,21,130,8.7,5.4,3.59,,,2,
2003,32,STL,qb,13,2,1,0-1-0,38,65,58.5,365,1,1.5,1,1.5,15,37,5.6,5.2,9.6,182.5,72.9,,6,38,8.5,4.61,4.25,,,1,
2004,33,NYG,QB,13,10,9,5-4-0,174,277,62.8,2054,6,2.2,4,1.4,94,62,7.4,7.2,11.8,205.4,86.5,,39,196,12.3,5.88,5.69,0,1,7,
2005,34,ARI,QB,13,10,10,2-8-0,242,375,64.5,2713,11,2.9,9,2.4,133,63,7.2,6.7,11.2,271.3,85.8,,23,158,5.8,6.42,5.95,2,2,7,
2006,35,ARI,qb,13,6,5,1-4-0,108,168,64.3,1377,6,3.6,5,3,65,64,8.2,7.6,12.8,229.5,89.3,45.2,14,104,7.7,6.99,6.42,,,5,
2007,36,ARI,QB,13,14,11,5-6-0,281,451,62.3,3417,27,6,17,3.8,169,62,7.6,7.1,12.2,244.1,89.8,67.9,20,140,4.2,6.96,6.48,1,1,10,
2008*,37,ARI,QB,13,16,16,9-7-0,401,598,67.1,4583,30,5,14,2.3,224,79,7.7,7.6,11.4,286.4,96.9,68.5,26,182,4.2,7.05,7,1,1,16,AP MVP-7 AP CPoY-4 PB
2009,38,ARI,QB,13,15,15,10-5-0,339,513,66.1,3753,26,5.1,14,2.7,192,45,7.3,7.1,11.1,250.2,93.2,66.2,24,172,4.5,6.67,6.46,1,2,11,
Career,,,,,124,116,67-49-0,2666,4070,65.5,32344,208,5.1,128,3.1,1545,85,7.9,7.6,12.1,260.8,93.7,,260,1669,6,7.08,6.71,7,11,113,
6 yrs,,STL,,,53,50,35-15-0,1121,1688,66.4,14447,102,6,65,3.9,668,85,8.6,8,12.9,272.6,97.2,,114,717,6.3,7.62,7.13,2,4,57,
5 yrs,,ARI,,,61,57,27-30-0,1371,2105,65.1,15843,100,4.8,59,2.8,783,79,7.5,7.2,11.6,259.7,91.9,,107,756,4.8,6.82,6.52,5,6,49,
1 yr,,NYG,,,10,9,5-4-0,174,277,62.8,2054,6,2.2,4,1.4,94,62,7.4,7.2,11.8,205.4,86.5,,39,196,12.3,5.88,5.69,0,1,7,
