Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2001,22,SDG,RB,21,16,16,339,1236,10,68,54,3.6,77.3,21.2,74,59,367,6.2,0,12,27,3.7,22.9,79.70%,5,398,4,1603,10,8,10,AP ORoY-2
2002*,23,SDG,RB,21,16,16,372,1683,14,96,76,4.5,105.2,23.3,101,79,489,6.2,1,21,30,4.9,30.6,78.20%,4.8,451,4.8,2172,15,3,15,AP2 PB
2003,24,SDG,RB,21,16,16,313,1645,13,83,73,5.3,102.8,19.6,137,100,725,7.3,4,26,73,6.3,45.3,73.00%,5.3,413,5.7,2370,17,2,19,AP OPoY-2 AP2
2004*+,25,SDG,RB,21,15,15,339,1335,17,74,42,3.9,89,22.6,66,53,441,8.3,1,16,74,3.5,29.4,80.30%,6.7,392,4.5,1776,18,6,18,AP OPoY-5 AP1 PB
2005*,26,SDG,RB,21,16,16,339,1462,18,72,62,4.3,91.4,21.2,77,51,370,7.3,2,15,41,3.2,23.1,66.20%,4.8,390,4.7,1832,20,3,18,AP2 PB
2006*+,27,SDG,RB,21,16,16,348,1815,28,83,85,5.2,113.4,21.8,80,56,508,9.1,3,23,51,3.5,31.8,70.00%,6.4,404,5.8,2323,31,2,26,AP MVP-1 AP OPoY-1 AP1 PB
2007*+,28,SDG,RB,21,16,16,315,1474,15,75,49,4.7,92.1,19.7,86,60,475,7.9,3,20,36,3.8,29.7,69.80%,5.5,375,5.2,1949,18,0,18,AP1 PB
2008,29,SDG,RB,21,16,16,292,1110,11,52,45,3.8,69.4,18.3,77,52,426,8.2,1,18,32,3.3,26.6,67.50%,5.5,344,4.5,1536,12,1,14,
2009,30,SDG,RB,21,14,14,223,730,12,40,36,3.3,52.1,15.9,30,20,154,7.7,0,8,36,1.4,11,66.70%,5.1,243,3.6,884,12,2,7,
2010,31,NYJ,RB,21,15,13,219,914,6,43,31,4.2,60.9,14.6,79,52,368,7.1,0,19,21,3.5,24.5,65.80%,4.7,271,4.7,1282,6,4,8,
2011,32,NYJ,RB,21,14,1,75,280,1,15,20,3.7,20,5.4,61,42,449,10.7,2,12,74,3,32.1,68.90%,7.4,117,6.2,729,3,0,5,
Career,,,,,170,155,3174,13684,145,701,85,4.3,80.5,18.7,868,624,4772,7.6,17,190,74,3.7,28.1,71.90%,5.5,3798,4.9,18456,162,31,158,
9 yrs,,SDG,,,141,141,2880,12490,138,643,85,4.3,88.6,20.4,728,530,3955,7.5,15,159,74,3.8,28,72.80%,5.4,3410,4.8,16445,153,27,145,
2 yrs,,NYJ,,,29,14,294,1194,7,58,31,4.1,41.2,10.1,140,94,817,8.7,2,31,74,3.2,28.2,67.10%,5.8,388,5.2,2011,9,4,13,
