Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1962,22,SDG,fl,24,4,4,10,226,22.6,3,67,2.5,56.5,1,17,0,17,17,4.3,0.3,11,22.1,243,3,0,3,
1963*+,23,SDG,FL,19,14,14,61,1205,19.8,11,85,4.4,86.1,2,14,0,21,7,1,0.1,63,19.3,1219,11,0,16,AP1 PB
1964*+,24,SDG,FL,19,12,12,61,1235,20.2,13,82,5.1,102.9,3,60,2,35,20,5,0.3,64,20.2,1295,15,3,15,AP1 PB
1965*+,25,SDG,FL,19,14,14,69,1602,23.2,14,85,4.9,114.4,3,-12,0,-1,-4,-0.9,0.2,72,22.1,1590,14,2,15,AP1 PB
1966*+,26,SDG,FL,19,13,13,73,1383,18.9,13,78,5.6,106.4,3,10,0,4,3.3,0.8,0.2,76,18.3,1393,13,0,17,AP1 PB
1967*+,27,SDG,FL,19,11,11,52,1010,19.4,9,71,4.7,91.8,1,5,0,5,5,0.5,0.1,53,19.2,1015,9,0,11,AP1 PB
1968*+,28,SDG,FL,19,14,14,68,1312,19.3,10,80,4.9,93.7,3,18,0,10,6,1.3,0.2,71,18.7,1330,10,0,15,AP1 PB
1969*,29,SDG,WR,19,14,14,64,1003,15.7,4,76,4.6,71.6,5,25,0,16,5,1.8,0.4,69,14.9,1028,4,0,11,AP2 PB
1970,30,SDG,WR,19,14,13,35,608,17.4,4,80,2.5,43.4,,,,,,,,35,17.4,608,4,0,8,
1971,31,DAL,WR,19,12,11,34,487,14.3,2,26,2.8,40.6,2,-10,0,-4,-5,-0.8,0.2,36,13.3,477,2,0,7,
1972,32,DAL,WR,19,14,7,15,195,13,2,30,1.1,13.9,1,2,0,2,2,0.1,0.1,16,12.3,197,2,0,2,
Career,,,,,136,127,542,10266,18.9,85,85,4,75.5,24,129,2,35,5.4,0.9,0.2,566,18.4,10395,87,5,120,
9 yrs,,SDG,,,110,109,493,9584,19.4,81,85,4.5,87.1,21,137,2,35,6.5,1.2,0.2,514,18.9,9721,83,5,111,
2 yrs,,DAL,,,26,18,49,682,13.9,4,30,1.9,26.2,3,-8,0,2,-2.7,-0.3,0.1,52,13,674,4,0,9,
