Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2003,23,CHI,LLB,55,16,13,1,45,1,45,4,,,,,,0,78,65,13,5,,,6,
2004,24,CHI,RLB,55,16,16,1,38,1,38,10,,,,,,0.5,127,103,24,7,,,10,
2005*+,25,CHI,RLB,55,16,16,2,30,1,20,11,1,0,2,0,0,2,109,85,24,8,,,19,AP DPoY-6 AP1 PB
2006*,26,CHI,RLB,55,16,16,2,18,0,18,9,4,0,1,0,0,1,134,113,21,11,2,,16,AP2 PB
2007*,27,CHI,RLB,55,14,14,0,0,0,0,3,2,0,1,0,0,2,103,84,19,15,6,,10,PB
2008*,28,CHI,RLB,55,16,16,3,12,0,9,11,1,0,2,21,1,0.5,110,90,20,8,2,,12,PB
2009*,29,CHI,LLB,55,15,15,1,0,0,0,5,,,,,,2.5,118,93,25,7,5,,10,AP2 PB
2010*,30,CHI,LLB,55,15,15,2,1,0,1,7,1,0,1,0,0,2,89,76,13,8,2,,12,PB
2011*,31,CHI,LLB,55,16,16,1,0,0,0,4,2,0,0,0,0,0,105,86,19,9,1,,11,PB
2012,32,CHI,LLB,55,16,16,2,110,2,74,11,2,0,0,0,0,1.5,103,74,29,7,2,,11,
2013,33,CHI,LLB,55,9,9,0,0,0,0,6,2,0,0,0,0,3,71,51,20,10,3,,3,
2014,34,CHI,LLB,55,8,8,1,2,0,2,3,1,0,0,0,0,0,34,24,10,2,1,,3,
Career,,,,,173,170,16,256,5,74,84,16,0,7,32,1,15,1181,944,237,97,24,,123,
